Name,Rating
Garry Kasparov,2844
Vladimir Kramnik,2814
Viswanathan Anand,2768
Michael Adams,2754
Veselin Topalov,2751
Ruslan Ponomariov,2746
Peter Leko,2735
Evgeny Bareev,2734
Alexander Morozevich,2726
Vassily Ivanchuk,2724
Boris Gelfand,2721
Alexei Shirov,2711
Peter Svidler,2710
Alexander Grischuk,2705
Vladimir Akopian,2699
Alexander Khalifman,2696
Loek van Wely,2695
Judit Polgar,2692
Nigel Short,2692
Alexey Dreev,2688
Ilia Smirin,2687
Vadim Zvjaginsev,2683
Anatoly Karpov,2682
Nigel D. Short,2682
Judit (GM) Polgar,2681
Vladimir Malakhov,2680
Zurab Azmaiparashvili,2679
Jiangchuan Ye,2676
Joel Lautier,2675
Ye Jiangchuan,2674
Alexander Beliavsky,2673
Ivan Sokolov,2673
Zoltan Almasi,2672
Predrag Nikolic,2671
Kiril Georgiev,2670
Rafael Vaganian,2667
Rafael A Vaganian,2667
Gregory Kaidanov,2665
Mikhail Gurevich,2663
Zhang Zhong,2663
Rustam Kasimdzhanov,2662
Emil Sutovsky,2662
Konstantin Sakaev,2660
Christopher Lutz,2658
Francisco Vallejo Pons,2657
Michal Krasenkow,2657
Sergei Rublevsky,2656
Jeroen Piket,2654
Sergei Movsesian,2654
Jun Xu,2654
Alexander G Beliavsky,2652
Etienne Bacrot,2650
Vladislav Tkachiev,2649
Smbat Lputian,2649
Viktor Bologan,2648
Alexander Onischuk,2647
Evgeny Vladimirov,2647
Alexander Motylev,2646
Aleksej Aleksandrov,2646
Loek Van Wely,2645
Krishnan Sasikiran,2644
Mihail Kobalija,2642
Lev Psakhis,2641
Alexander Lastin,2640
Merab Gagunashvili,2639
Viktor Korchnoi,2638
Gregory S Kaidanov,2638
Alexander Graf,2637
Zhong Zhang,2637
Sergei Tiviakov,2636
Evgeny Pigusov,2635
Sergey Volkov,2635
Vladimir Epishin,2635
Jan Timman,2634
Robert Dr. Huebner,2634
Johann Hjartarson,2634
Andrei Kharlov,2632
Peter Heine Nielsen,2632
Pavel Tregubov,2631
Igor Khenkin,2631
Igor Novikov,2631
Xu Jun,2631
Zurab Sturua,2630
Iosif Dorfman,2630
Karen Asrian,2629
Rustem Dautov,2628
Jaan Ehlvest,2628
Sergey Dolmatov,2627
Smbat G Lputian,2627
Andrei Istratescu,2626
Alexey Kuzmin,2625
Mikhail Kobalia,2625
Vladimir Baklan,2624
Curt Hansen,2624
Alexander Shabalov,2624
Matthew Sadler,2624
Lenier Dominguez,2623
Jan H Timman,2623
Andrey Sokolov,2622
Ioannis Papaioannou,2622
