Name,Rating
Garry Kasparov,2849
Vladimir Kramnik,2817
Viswanathan Anand,2787
Peter Leko,2751
Alexander Morozevich,2750
Vassily Ivanchuk,2743
Michael Adams,2738
Veselin Topalov,2734
Evgeny Bareev,2727
Alexei Shirov,2723
Boris Gelfand,2715
Loek Van Wely,2714
Rustam Kasimdzhanov,2706
Peter Svidler,2704
Ilia Smirin,2702
Loek van Wely,2700
Alexander Khalifman,2700
Ruslan Ponomariov,2697
Nigel Short,2692
Kiril Georgiev,2691
Alexey Dreev,2689
Anatoly Karpov,2687
Judit (GM) Polgar,2686
Judit Polgar,2685
Zurab Azmaiparashvili,2681
Jiangchuan Ye,2681
Ye Jiangchuan,2677
Alexander Grischuk,2676
Zhang Zhong,2676
Nigel D. Short,2675
Vladimir Akopian,2674
Alexander Beliavsky,2670
Viktor Bologan,2668
Alexander G Beliavsky,2668
Predrag Nikolic,2664
Andrei Kharlov,2664
Alexander Onischuk,2664
Smbat Lputian,2661
Joel Lautier,2659
Emil Sutovsky,2657
Zhong Zhang,2657
Jeroen Piket,2656
Ivan Sokolov,2656
Vladimir Malakhov,2654
Konstantin Sakaev,2654
Vadim Zvjaginsev,2654
Michal Krasenkow,2654
Jun Xu,2654
Etienne Bacrot,2652
Viktor Korchnoi,2651
Aleksej Aleksandrov,2651
Rafael A Vaganian,2650
Zoltan Almasi,2649
Vladislav Tkachiev,2649
Rafael Vaganian,2648
Alexander Lastin,2642
Sergei Rublevsky,2642
Xu Jun,2642
Zurab Sturua,2641
Christopher Lutz,2640
Rustem Dautov,2639
Sergei Movsesian,2639
Igor Khenkin,2639
Mikhail Gurevich,2638
Jan Timman,2638
Alexander Motylev,2638
Pavel Tregubov,2635
Aleksander Delchev,2634
Matthew Sadler,2633
Artur Jussupow,2633
Yasser Seirawan,2633
Robert Hübner,2630
Igor Novikov,2630
Lev Psakhis,2630
Sergey Dolmatov,2627
Francisco Vallejo Pons,2627
Jaan Ehlvest,2626
Alexander Graf,2625
Curt Hansen,2625
Peter Heine Nielsen,2625
Sergei Shipov,2625
Evgeny Vladimirov,2624
Boris Avrukh,2623
Vladimir Baklan,2622
Evgeny Pigusov,2621
Joel Benjamin,2621
Vadim Milov,2619
Konstantin Landa,2619
Boris Gulko,2619
Ioannis Papaioannou,2618
Andrey Shariyazdanov,2618
Julian Hodgson,2618
Smbat G Lputian,2618
Mihail Kobalija,2617
Alexander Galkin,2617
Valerij Filippov,2617
Iosif Dorfman,2616
Vasilios Kotronias,2616
Evgeniy Najer,2615
Karen Asrian,2615
