Name,Rating
Garry Kasparov,2860
Viswanathan Anand,2791
Vladimir Kramnik,2787
Peter Leko,2756
Alexei Shirov,2752
Michael Adams,2750
Alexander Morozevich,2739
Vassily Ivanchuk,2733
Evgeny Bareev,2716
Peter Svidler,2716
Veselin Topalov,2710
Boris Gelfand,2705
Michal Krasenkow,2703
Nigel Short,2701
Mikhail Gurevich,2692
Judit Polgar,2691
Vladimir Akopian,2690
Anatoly Karpov,2690
Alexey Dreev,2687
Nigel D. Short,2687
Kiril Georgiev,2682
Zurab Azmaiparashvili,2682
Jiangchuan Ye,2682
Rustam Kasimdzhanov,2681
Ilia Smirin,2680
Loek van Wely,2678
Zoltan Almasi,2671
Predrag Nikolic,2670
Alexander Khalifman,2669
Sergei Movsesian,2669
Alexander Beliavsky,2669
Vladislav Tkachiev,2666
Ye Jiangchuan,2665
Jun Xu,2665
Sergei Rublevsky,2662
Alexander Onischuk,2661
Jan Timman,2661
Viktor Bologan,2660
Joel Lautier,2657
Judit (GM) Polgar,2656
Xiaomin Peng,2655
Vadim Zvjaginsev,2654
Zhang Zhong,2652
Ruslan Ponomariov,2650
Jeroen Piket,2650
Yasser Seirawan,2648
Igor Khenkin,2647
Zdenko Kožul,2647
Konstantin Sakaev,2646
Matthew Sadler,2646
Viktor Korchnoi,2646
Boris Gulko,2646
Alexander Nenashev,2645
Jonathan Speelman,2643
Loek Van Wely,2643
Boris F Gulko,2642
Vadim Milov,2641
Alexei Fedorov,2640
Gilberto Milos,2640
Sergei Shipov,2639
Jan H Timman,2639
Ivan Sokolov,2638
Ulf Andersson,2638
Evgeny Vladimirov,2636
Andrei Kharlov,2636
Alexander Lastin,2635
Rafael Vaganian,2635
Rafael Leitao,2635
Zurab Sturua,2634
Julian M. Hodgson,2633
Boris Avrukh,2630
Iosif Dorfman,2630
Lev Psakhis,2629
Peng Xiaomin,2629
Smbat Lputian,2629
Alexander G Beliavsky,2629
Alexander Grischuk,2628
Curt Hansen,2628
Vladimir Epishin,2628
Alexander Chernin,2628
Pavel Tregubov,2627
Rafael A Vaganian,2627
Alexander Graf,2625
Yury Balashov,2625
Julian Hodgson,2625
Artur Jussupow,2624
Jaan Ehlvest,2623
Sergei Tiviakov,2622
Etienne Bacrot,2622
Oleg Korneev,2621
Anthony Miles,2621
Sergey Volkov,2621
Vitali Golod,2621
Sergey Dolmatov,2620
Rustem Dautov,2619
Emil Sutovsky,2619
Gregory S Kaidanov,2619
Andrey Shariyazdanov,2618
Igor Novikov,2618
Alexey Kuzmin,2617
