Name,Rating
Garry Kasparov,2847
Vladimir Kramnik,2817
Viswanathan Anand,2778
Alexander Morozevich,2750
Michael Adams,2745
Veselin Topalov,2738
Peter Leko,2732
Vassily Ivanchuk,2730
Alexei Shirov,2729
Evgeny Bareev,2721
Ruslan Ponomariov,2719
Boris Gelfand,2717
Ilia Smirin,2708
Loek van Wely,2705
Peter Svidler,2703
Rustam Kasimdzhanov,2702
Loek Van Wely,2702
Judit Polgar,2693
Alexey Dreev,2692
Alexander Khalifman,2692
Nigel Short,2689
Vladimir Akopian,2686
Anatoly Karpov,2685
Zurab Azmaiparashvili,2682
Kiril Georgiev,2680
Joel Lautier,2680
Judit (GM) Polgar,2680
Zhang Zhong,2678
Alexander Grischuk,2677
Jiangchuan Ye,2677
Ye Jiangchuan,2672
Alexander Beliavsky,2669
Rafael Vaganian,2667
Nigel D. Short,2667
Predrag Nikolic,2665
Jeroen Piket,2663
Alexander Onischuk,2663
Vadim Zvjaginsev,2662
Viktor Bologan,2662
Smbat Lputian,2661
Vladimir Malakhov,2658
Ivan Sokolov,2658
Rafael A Vaganian,2658
Konstantin Sakaev,2657
Zhong Zhang,2656
Mikhail Gurevich,2655
Zoltan Almasi,2655
Emil Sutovsky,2655
Alexander G Beliavsky,2655
Jun Xu,2654
Andrei Kharlov,2653
Sergei Rublevsky,2653
Aleksej Aleksandrov,2652
Etienne Bacrot,2652
Vladislav Tkachiev,2650
Viktor Korchnoi,2646
Rustem Dautov,2645
Christopher Lutz,2645
Alexander Motylev,2643
Xu Jun,2643
Alexander Lastin,2642
Michal Krasenkow,2641
Jan Timman,2641
Robert Hübner,2640
Igor Khenkin,2639
Peter Heine Nielsen,2638
Zurab Sturua,2638
Pavel Tregubov,2638
Evgeniy Najer,2635
Lev Psakhis,2635
Yasser Seirawan,2634
Aleksander Delchev,2634
Sergei Movsesian,2633
Evgeny Pigusov,2632
Artur Jussupow,2632
Igor Novikov,2631
Francisco Vallejo Pons,2630
Alexander Graf,2629
Matthew Sadler,2629
Jaan Ehlvest,2628
Evgeny Vladimirov,2628
Sergey Dolmatov,2628
Sergei Shipov,2628
Smbat G Lputian,2628
Curt Hansen,2624
Valerij Filippov,2624
Iosif Dorfman,2624
Joel Benjamin,2624
Alexander Goldin,2624
Sergei Tiviakov,2623
Mihail Kobalija,2622
Konstantin Landa,2622
Robert Dr. Huebner,2622
Vadim Milov,2621
Andrey Shariyazdanov,2621
Pavel V. Tregubov,2621
Semen Dvoiris,2620
Julian Hodgson,2620
Zdenko Kožul,2620
Mikhail Kobalia,2620
