Name,Rating
Magnus Carlsen,2839
Fabiano Caruana,2827
Shakhriyar Mamedyarov,2820
Liren Ding,2804
Maxime Vachier-Lagrave,2780
Levon Aronian,2780
Anish Giri,2780
Vladimir Kramnik,2779
Wesley So,2776
Viswanathan Anand,2771
Alexander Grischuk,2769
Ian Nepomniachtchi,2768
Yangyi Yu,2765
Hikaru Nakamura,2763
Sergey Karjakin,2760
Peter Svidler,2756
Teimour Radjabov,2751
Dmitry Jakovenko,2747
Pentala Harikrishna,2743
Yi Wei,2742
David Navara,2740
Veselin Topalov,2740
Jan-Krzysztof Duda,2739
Radoslaw Wojtaszek,2727
Nikita Vitiugov,2726
Richard Rapport,2723
Samuel Shankland,2722
Arkadij Naiditsch,2721
Ivan Cheparinov,2715
Quang Liem Le,2715
Hao Wang,2714
Francisco Vallejo Pons,2713
Vladimir Fedoseev,2712
Xiangzhi Bu,2712
Michael Adams,2712
Dmitry Andreikin,2712
Santosh Gujrathi Vidit,2711
Vassily Ivanchuk,2710
Daniil Dubov,2709
Chao b Li,2708
Pavel Eljanov,2703
Vladislav Artemiev,2703
Boris Gelfand,2703
Zoltan Almasi,2702
Evgeny Tomashevsky,2702
Rauf Mamedov,2699
Yuriy Kryvoruchko,2695
Matthew D Sadler,2693
Tamir Nabaty,2692
Gabriel Sargissian,2691
Peter Leko,2690
David W L Howell,2689
Ivan Saric,2689
Bassem Amin,2686
Markus Ragger,2686
Anton Korobov,2685
Maxim Matlakov,2683
Ray Robson,2682
Ruslan Ponomariov,2681
Yue Wang,2681
Ernesto Inarkiev,2679
Etienne Bacrot,2678
Ferenc Berkes,2678
Gawain C B Jones,2677
Eltaj Safarli,2676
Hua Ni,2676
Anton Demchenko,2675
Maxim Rodshtein,2674
S.P. Sethuraman,2673
Luke J McShane,2672
Krishnan Sasikiran,2672
Dariusz Swiercz,2669
B. Adhiban,2668
Gadir Guseinov,2667
Gata Kamsky,2666
Vladimir Malakhov,2666
Vladislav Kovalev,2664
Jorge Cori,2664
Evgeniy Najer,2663
Viktor Laznicka,2662
Jon Ludvig Hammer,2662
Rustam Kasimdzhanov,2662
Liviu-Dieter Nisipeanu,2661
Alexander Motylev,2661
A.R. Saleh Salem,2660
Hrant Melkumyan,2660
Yifan Hou,2658
Robin Van Kampen,2658
Luka Lenic,2656
Alexander Morozevich,2656
Nils Grandelius,2655
Martyn Kravtsiv,2654
Sanan Sjugirov,2654
Lazaro Bruzon Batista,2653
Yuriy Kuzubov,2652
Nigel D Short,2652
Alexander Areshchenko,2652
Sergei Rublevsky,2652
Jeffery Xiong,2651
Igors Rausis,2651
