Name,Rating
Magnus Carlsen,2853
Viswanathan Anand,2816
Veselin Topalov,2816
Hikaru Nakamura,2814
Fabiano Caruana,2808
Anish Giri,2793
Wesley So,2779
Vladimir Kramnik,2777
Alexander Grischuk,2771
Liren Ding,2770
Levon Aronian,2765
Dmitry Jakovenko,2759
Sergey Karjakin,2753
Chao b Li,2748
Evgeny Tomashevsky,2747
Boris Gelfand,2741
P. Harikrishna,2740
Michael Adams,2740
Peter Svidler,2739
Teimour Radjabov,2738
Leinier Dominguez Perez,2736
Shakhriyar Mamedyarov,2735
Radoslaw Wojtaszek,2733
Maxime Vachier-Lagrave,2731
Yangyi Yu,2726
Vassily Ivanchuk,2726
Yi Wei,2725
David Navara,2724
Pavel Eljanov,2723
Yue Wang,2721
Dmitry Andreikin,2720
Nikita Vitiugov,2719
Peter Leko,2714
Hua Ni,2713
Xiangzhi Bu,2712
David W L Howell,2712
Alexander Morozevich,2711
Ruslan Ponomariov,2711
Laurent Fressinet,2710
Alexander Moiseenko,2710
Hao Wang,2705
Ian Nepomniachtchi,2705
Rustam Kasimdzhanov,2704
Igor Kovalenko,2702
Sergei Rublevsky,2702
Alexei Shirov,2702
Zoltan Almasi,2700
Anton Korobov,2699
Quang Liem Le,2699
Yuriy Kryvoruchko,2697
Etienne Bacrot,2694
Ivan Cheparinov,2690
Maxim Matlakov,2689
Markus Ragger,2688
Francisco Vallejo Pons,2686
Arkadij Naiditsch,2685
Vladimir Malakhov,2683
Ray Robson,2680
Nigel D Short,2678
Maxim Rodshtein,2678
Jon Ludvig Hammer,2677
Judit Polgar,2675
Luke J McShane,2674
Igor Lysyj,2673
Gabriel Sargissian,2673
Vladislav Artemiev,2671
Yifan Hou,2671
Richard Rapport,2671
Gata Kamsky,2670
Ilia Smirin,2669
Liviu-Dieter Nisipeanu,2667
Viktor Laznicka,2665
Baadur Jobava,2664
Sanan Sjugirov,2664
Parimarjan Negi,2664
Julio E Granda Zuniga,2663
Ildar Khairullin,2662
Ivan Ivanisevic,2662
Ngoc Truong Son Nguyen,2662
Alexander Onischuk,2662
Alexander Areshchenko,2661
Ivan Saric,2661
Vladislav Tkachiev,2661
Ernesto Inarkiev,2660
Vladimir Fedoseev,2659
Ferenc Berkes,2659
Lazaro Bruzon Batista,2659
Csaba Balogh,2659
Matthew D Sadler,2659
Alexander Motylev,2658
Evgeniy Najer,2658
Ivan Bukavshin,2655
Samuel L Shankland,2655
Peter Heine Nielsen,2655
Daniil Dubov,2654
Vadim Zvjaginsev,2654
Loek Van Wely,2654
Sergei Zhigalko,2654
Sergey A. Fedorchuk,2653
Ivan Popov,2653
