Name,Rating
Magnus Carlsen,2834
Veselin Topalov,2803
Viswanathan Anand,2796
Vladimir Kramnik,2796
Hikaru Nakamura,2793
Levon Aronian,2788
Fabiano Caruana,2787
Anish Giri,2784
Liren Ding,2776
Wesley So,2775
Maxime Vachier-Lagrave,2773
Sergey Karjakin,2766
Pavel Eljanov,2763
Peter Svidler,2751
Chao b Li,2750
Shakhriyar Mamedyarov,2748
Alexander Grischuk,2747
Evgeny Tomashevsky,2744
P. Harikrishna,2743
Michael Adams,2737
Dmitry Jakovenko,2737
Yangyi Yu,2736
Dmitry Andreikin,2732
Leinier Dominguez Perez,2732
Boris Gelfand,2731
David Navara,2730
Yi Wei,2730
Teimour Radjabov,2726
Yue Wang,2724
Nikita Vitiugov,2724
Radoslaw Wojtaszek,2723
Quang Liem Le,2718
Richard Rapport,2715
Anton Korobov,2713
Xiangzhi Bu,2712
Yuriy Kryvoruchko,2711
Vassily Ivanchuk,2710
Ruslan Ponomariov,2710
Laurent Fressinet,2707
Ian Nepomniachtchi,2707
Hao Wang,2707
Peter Leko,2705
Gabriel Sargissian,2702
Rustam Kasimdzhanov,2702
Arkadij Naiditsch,2698
Jon Ludvig Hammer,2695
Vladimir Malakhov,2694
Hua Ni,2693
Etienne Bacrot,2692
Alexander Morozevich,2692
Sergei Rublevsky,2692
Zoltan Almasi,2690
Alexander Moiseenko,2689
David W L Howell,2688
Markus Ragger,2687
Julio E Granda Zuniga,2685
Nigel D Short,2684
Maxim Matlakov,2684
Yifan Hou,2683
Ivan Cheparinov,2682
Igor Kovalenko,2680
Maxim Rodshtein,2678
Alexander Areshchenko,2677
Francisco Vallejo Pons,2676
Alexei Shirov,2676
Vladislav Artemiev,2676
Liviu-Dieter Nisipeanu,2675
Evgeny Bareev,2675
Evgeniy Najer,2674
Baadur Jobava,2673
Evgeny Postny,2670
Gata Kamsky,2669
Luke J McShane,2669
B. Adhiban,2669
Ernesto Inarkiev,2668
Lazaro Bruzon Batista,2666
Igor Lysyj,2666
Bassem Amin,2665
Vladimir Fedoseev,2664
Parimarjan Negi,2664
Alexander Onischuk,2664
Jan-Krzysztof Duda,2663
Matthew D Sadler,2662
Vadim Zvjaginsev,2662
Vladislav Tkachiev,2660
Georg Meier,2660
Ivan Ivanisevic,2660
Sergei Movsesian,2659
Ray Robson,2659
Ilia Smirin,2658
Ivan Bukavshin,2657
Viktor Laznicka,2655
Daniil Dubov,2655
Sergei Zhigalko,2655
Hrant Melkumyan,2654
Viktor Bologan,2654
Ivan Saric,2654
Tigran Gharamian,2654
Denis Khismatullin,2654
Eltaj Safarli,2653
