Name,Rating
Magnus Carlsen,2881
Levon Aronian,2830
Vladimir Kramnik,2787
Veselin Topalov,2785
Fabiano Caruana,2783
Alexander Grischuk,2777
Hikaru Nakamura,2772
Viswanathan Anand,2770
Sergey Karjakin,2766
Maxime Vachier-Lagrave,2758
Peter Svidler,2758
Leinier Dominguez Perez,2757
Shakhriyar Mamedyarov,2757
Vassily Ivanchuk,2753
Boris Gelfand,2753
Michael Adams,2751
Nikita Vitiugov,2747
Anish Giri,2745
Etienne Bacrot,2739
Wesley So,2738
Hao Wang,2734
Ian Nepomniachtchi,2732
Peter Leko,2730
Pavel Eljanov,2723
Dmitry Jakovenko,2723
Alexander Morozevich,2722
Ruslan Ponomariov,2721
Anton Korobov,2719
Liren Ding,2717
Vladimir Malakhov,2717
Yue Wang,2717
Baadur Jobava,2716
P. Harikrishna,2714
Denis Khismatullin,2714
Alexei Shirov,2713
Radoslaw Wojtaszek,2713
Teimour Radjabov,2713
Alexander Moiseenko,2712
Evgeny Tomashevsky,2711
Gata Kamsky,2709
Laurent Fressinet,2709
Dmitry Andreikin,2709
Quang Liem Le,2709
Zoltan Almasi,2707
Arkadij Naiditsch,2706
Yuriy Kryvoruchko,2706
Sergei Rublevsky,2706
Alexander Areshchenko,2705
Chao b Li,2700
David Navara,2700
Xiangzhi Bu,2699
Ernesto Inarkiev,2698
Francisco Vallejo Pons,2697
Maxim Matlakov,2695
Rustam Kasimdzhanov,2693
Judit Polgar,2693
Evgeny Alekseev,2692
Liviu-Dieter Nisipeanu,2692
Maxim Rodshtein,2691
Alexander Riazantsev,2689
Ferenc Berkes,2687
Loek Van Wely,2684
Luke J McShane,2683
Vladimir Akopian,2682
Richard Rapport,2681
Ivan Cheparinov,2681
Viktor Laznicka,2681
Julio E Granda Zuniga,2680
Aleksey Dreev,2679
Alexander Onischuk,2679
Lazaro Bruzon Batista,2678
Sergei Movsesian,2678
Gabriel Sargissian,2676
Krishnan Sasikiran,2676
Boris Grachev,2675
Nigel D Short,2674
Andrei Volokitin,2674
Andrei Istratescu,2672
Sergei Zhigalko,2671
Romain Edouard,2670
Yangyi Yu,2664
Mateusz Bartel,2662
Ivan Saric,2661
Rauf Mamedov,2660
Hua Ni,2658
Ildar Khairullin,2657
Zahar Efimenko,2657
Bassem Amin,2657
Alexander Motylev,2656
Eltaj Safarli,2656
Tigran Gharamian,2655
Igor Lysyj,2655
Luka Lenic,2654
Viktor Erdos,2654
Sanan Sjugirov,2653
Peter Heine Nielsen,2653
Vadim Zvjaginsev,2653
Emil Sutovsky,2652
Sergei Tiviakov,2651
Bartosz Socko,2651
