Name,Rating
Veselin Topalov,2813
Viswanathan Anand,2779
Vladimir Kramnik,2750
Peter Svidler,2750
Alexander Morozevich,2747
Vassily Ivanchuk,2741
Levon Aronian,2741
Peter Leko,2741
Michael Adams,2735
Boris Gelfand,2733
Teimour Radjabov,2729
Shakhriyar Mamedyarov,2728
David Navara,2725
Alexei Shirov,2720
Vladimir Akopian,2713
Judit Polgar,2710
Alexander Grischuk,2710
Etienne Bacrot,2705
Gata Kamsky,2705
Ruslan Ponomariov,2703
Magnus Carlsen,2698
Liviu-Dieter Nisipeanu,2690
Sergei Rublevsky,2688
Evgeny Bareev,2683
Vladimir Malakhov,2682
Kiril Georgiev,2680
Sergei Tiviakov,2680
Nigel D. Short,2677
Loek Van Wely,2676
Arkadij Naiditsch,2676
Krishnan Sasikiran,2675
P. Harikrishna,2674
Vadim Zvjaginsev,2674
Francisco Vallejo Pons,2674
Sergey Karjakin,2672
Rustam Kasimdzhanov,2672
Xiangzhi Bu,2671
Dmitry Jakovenko,2671
Ivan Sokolov,2670
Alexander Onischuk,2668
Gabriel Sargissian,2667
Zoltan Almasi,2664
Artyom Timofeev,2662
Alexander Motylev,2662
Viktor Bologan,2659
Ilia Smirin,2659
Pavel Eljanov,2658
Zviad Izoria,2657
Oleg Korneev,2657
Vadim Milov,2657
Joel Lautier,2656
Lenier Dominguez,2655
Alexey Dreev,2655
Vladislav Tkachiev,2653
Baadur Jobava,2650
Mikhail Gurevich,2648
Evgeniy Najer,2648
Lazaro Bruzon,2648
Michal Krasenkow,2647
Julio E Granda Zuniga,2646
Andrei Volokitin,2645
Yue Wang,2644
Boris Avrukh,2644
Vugar Gashimov,2643
Mikhail Kobalia,2643
Konstantin Sakaev,2641
Friso Nijboer,2641
Peter Heine Nielsen,2640
Alexander Areshchenko,2640
Hikaru Nakamura,2640
Laurent Fressinet,2640
Evgeny Alekseev,2639
Alexander G Beliavsky,2639
Zurab Azmaiparashvili,2638
Kamil Miton,2638
Yasser Seirawan,2638
Sergei Movsesian,2637
Pengxiang Zhang,2636
Smbat G Lputian,2634
Karen Asrian,2634
Alexander Moiseenko,2632
Alexander Riazantsev,2632
Ivan Cheparinov,2632
Radoslaw Wojtaszek,2630
Bartosz Socko,2630
Aleksander Delchev,2628
Ernesto Inarkiev,2628
Sergey Volkov,2628
Vladimir Afromeev,2628
Evgenij Miroshnichenko,2627
Predrag Nikolic,2626
Pavel Smirnov,2623
Hao Wang,2622
Vladimir Baklan,2622
Alexander Khalifman,2622
Bartlomiej Macieja,2622
Hua Ni,2621
Curt Hansen,2621
Miguel Illescas Cordoba,2620
Igor Khenkin,2620
