Name,Rating
Magnus Carlsen,2863
Fabiano Caruana,2828
Liren Ding,2791
Maxime Vachier-Lagrave,2784
Ian Nepomniachtchi,2784
Alexander Grischuk,2777
Shakhriyar Mamedyarov,2770
Wesley So,2770
Levon Aronian,2767
Teimour Radjabov,2765
Anish Giri,2764
Hao Wang,2763
Richard Rapport,2759
Leinier Dominguez Perez,2758
Jan-Krzysztof Duda,2757
Viswanathan Anand,2753
Sergey Karjakin,2752
Hikaru Nakamura,2736
Veselin Topalov,2735
Pentala Harikrishna,2732
Yi Wei,2732
Alireza Firouzja,2728
Dmitry Andreikin,2726
Santosh Gujrathi Vidit,2726
Peter Svidler,2723
Nikita Vitiugov,2722
Francisco Vallejo Pons,2721
Michael Adams,2716
Vladislav Artemiev,2716
Quang Liem Le,2709
Jeffery Xiong,2709
Yangyi Yu,2709
David Navara,2707
Evgeny Tomashevsky,2706
Radoslaw Wojtaszek,2705
Xiangzhi Bu,2705
Daniil Dubov,2699
Kirill Alekseenko,2696
Matthew D Sadler,2694
Sam Shankland,2691
Bassem Amin,2690
Alexander Areshchenko,2687
Anton Korobov,2687
Zoltan Almasi,2687
Yuriy Kryvoruchko,2686
Ivan Cheparinov,2686
Maxim Matlakov,2685
Dmitry Jakovenko,2684
Chao b Li,2683
Andrey Esipenko,2682
A.R. Saleh Salem,2682
Gabriel Sargissian,2682
David Anton Guijarro,2681
Markus Ragger,2679
Vasyl Ivanchuk,2678
Alexandr Predke,2676
Boris Gelfand,2676
Parham Maghsoodloo,2676
Sanan Sjugirov,2675
Vladimir Fedoseev,2674
Luke J McShane,2674
Etienne Bacrot,2674
Jorden Van Foreest,2673
Ray Robson,2673
Matthias Bluebaum,2672
Gata Kamsky,2672
Pavel Eljanov,2672
Gawain C B Jones,2670
Yue Wang,2669
Vladimir Malakhov,2667
Hua Ni,2667
Ferenc Berkes,2665
Gadir Guseinov,2665
Illya Nyzhnyk,2665
Nijat Abasov,2664
David W L Howell,2663
Peter Leko,2663
Hrant Melkumyan,2663
Rustam Kasimdzhanov,2662
Nils Grandelius,2662
Ernesto Inarkiev,2661
Samuel Sevian,2660
B. Adhiban,2659
Alexander Donchenko,2658
Karen H. Grigoryan,2658
Yifan Hou,2658
Alexey Sarana,2657
Liviu-Dieter Nisipeanu,2657
Constantin Lupulescu,2656
Aleksey Dreev,2655
Igor Kovalenko,2654
Rinat Jumabayev,2654
Rauf Mamedov,2654
David Paravyan,2653
Ivan Saric,2652
Jorge Cori,2652
Grigoriy Oparin,2652
Maxime Lagarde,2651
Andrei Volokitin,2650
Alexei Shirov,2649
