Name,Rating
Mikhail Botvinnik,2847
Miguel Najdorf,2793
Gideon St\xe5hlberg,2759
Paul Keres,2756
Samuel Reshevsky,2743
Isaak Boleslavsky,2736
Vassily Smyslov,2734
Erich Eliskases,2725
David Bronstein,2720
Alexander Kotov,2719
Semen Furman,2708
Max Euwe,2706
Viacheslav Ragozin,2684
Petar Trifunovic,2682
L\xe1szl\xf3 Szab\xf3,2678
Svetozar Gligoric,2672
Salo Flohr,2666
Folke Ekstr\xf6m,2665
Andor Lilienthal,2662
Saviely Tartakower,2652
Reuben Fine,2651
Georgy Lisitsin,2644
Vasily Panov,2642
Herman Pilnik,2642
Nikolay Novotelnov,2641
Julio Bolboch\xe1n,2639
Alexander Tolush,2638
Vladimir Simagin,2633
Gedeon Barcza,2632
Igor Bondarevsky,2632
G\xf6sta Stoltz,2627
Eero B\xf6\xf6k,2623
Jan Foltys,2623
Genrikh Kasparian,2621
Alexander Konstantinopolsky,2620
Alb\xe9ric O\'Kelly de Galway,2618
Pal Benko,2614
Ludek Pachmann,2609
Vasja Pirc,2607
Grigory Ravinsky,2605
H\xe9ctor Rossetto,2604
Erik Lundin,2604
Daniel Yanofsky,2603
Tigran Petrosian,2600
Carlos Guimard,2599
Ludwig R\xf6dl,2598
Al Horowitz,2597
Vladimir Alatortsev,2597
Yury Averbakh,2595
Georg Kieninger,2593
Pablo Michel,2592
Isaac Kashdan,2591
J\xe1cobo Bolboch\xe1n,2589
Arnold Denker,2589
Jorge Pelik\xe1n,2585
Vladimir Makogonov,2585
Grigory Levenfish,2583
Lev Aronin,2582
A Vasiljev,2578
Mark Taimanov,2577
Jacob Levin,2572
Milan Jr Vidmar,2570
Moshe Czerniak,2569
Ratmir Kholmov,2569
Mariano Castillo Larenas,2568
Nicolaas Cortlever,2568
Vladimir Saigin,2566
Ossip Bernstein,2565
Carlos Maderna,2565
J\xf3zsef Szily,2565
Stojan Puc,2562
Evgeny Zagoriansky,2558
Anatoly Ufimtsev,2557
Vladimir Zagorovsky,2556
Antonio Medina Garc\xeda,2556
Samuil Zhukhovitsky,2555
Milan Vidmar Sr,2555
Mikhail Yudovich,2554
Ren\xe9 Letelier Martner,2551
Miguel Crues Albareda,2550
Vitaly Chekhover,2549
Vasilje Tomovic,2549
Marcos Luckis,2548
German Fridstein,2548
Herman Steiner,2545
Ilia Kan,2544
Elek Bakonyi,2543
Gottlieb Machate,2542
George Thomas,2540
Cenek Kottnauer,2539
Wolfgang Unzicker,2538
Robert Combe,2536
Luis Marini,2535
Jaroslav \x8aajtar,2533
Walter Niephaus,2532
Lajos Steiner,2532
Anthony Santasiere,2531
Oleg Neikirkh,2528
Conel Alexander,2528
Ern\xf6 Gereben,2528
