Name,Rating
Mikhail Botvinnik,2768
Reuben Fine,2760
Alexander Alekhine,2747
Samuel Reshevsky,2743
Paul Keres,2735
Salo Flohr,2717
Max Euwe,2716
Jos\xe9 Capablanca,2707
Erich Eliskases,2699
Vasja Pirc,2677
Gideon St\xe5hlberg,2674
L\xe1szl\xf3 Szab\xf3,2674
Vladimir Makogonov,2660
Grigory Levenfish,2654
Vladimirs Petrovs,2644
Sergey Belavenets,2642
Efim Bogoljubow,2637
Vladas Mikenas,2630
Viacheslav Ragozin,2627
Andor Lilienthal,2626
Ludwig Engels,2624
Saviely Tartakower,2617
Miguel Najdorf,2616
Paulin Frydman,2614
Al Horowitz,2613
Vladimir Alatortsev,2609
Yosef Porat,2608
Vitaly Chekhover,2605
Josef Lokvenc,2601
Ilya Rabinovich,2601
Georgy Lisitsin,2598
Carlos Guimard,2597
Ilia Kan,2595
Alexander Kotov,2594
Milan Vidmar Sr,2593
Ludwig Rellstab Sr,2592
Boris Kostic,2592
Karl Gilg,2589
Peter Dubinin,2588
Georg Kieninger,2588
Jorge Pelik\xe1n,2588
Isaac Kashdan,2588
Eero B\xf6\xf6k,2586
Isa\xedas Pleci,2582
Igor Bondarevsky,2582
Ernst Klein,2582
Lajos Steiner,2576
Fedor Bohatirchuk,2574
Vassily Smyslov,2574
Alexander Konstantinopolsky,2571
Rudolf Spielmann,2570
Johannes van den Bosch,2569
Victor Goglidze,2569
Pablo Michel,2569
Kurt Richter,2568
Asmundur Asgeirsson,2568
Abraham Kupchik,2567
Karel Opocensk\xfd,2566
Lajos Asztalos,2564
Albert Simonson,2562
Jan Foltys,2561
Movsa Feigin,2558
Conel Alexander,2556
Hans M\xfcller,2555
Mikhail Yudovich,2555
Herbert Heinicke,2555
J\xe1cobo Bolboch\xe1n,2553
Alexander Tolush,2552
Aristide Gromer,2552
Salo Landau,2552
Roberto Grau,2550
Eduard Gerstenfeld,2550
Alexey Sokolsky,2549
Nicolaas Cortlever,2549
Daniel Yanofsky,2547
Anton Kohler,2544
Nikolay Riumin,2544
Leonid Shamaev,2543
Philip Milner-Barry,2542
Petar Trifunovic,2540
Carl Ahues,2540
Erik Lundin,2539
Bengt Ekenberg,2539
Adrian Conde,2538
Imre K\xf6nig,2538
Milan Jr Vidmar,2533
Rudolf1 Keller,2533
Franti\x9aek Z\xedta,2532
Gunnar Friedemann,2532
Herman Steiner,2529
Izaak Appel,2529
Iosif Pogrebissky,2529
Gosta Danielsson,2528
Enrique Reed Valenzuela,2523
M. Broder,2521
Tjeerd van Scheltinga,2521
Adrianus de Groot,2520
Teodor Regedzinski,2519
Vasily Panov,2519
S. Cohen,2517
