Name,Rating
Emanuel Lasker,2865
Siegbert Tarrasch,2824
Wilhelm Steinitz,2764
Mikhail Chigorin,2751
Paul Lipke,2724
Richard Teichmann,2704
Joseph Blackburne,2699
Carl Walbrodt,2680
Curt von Bardeleben,2675
Alfred Jecke,2664
Albert Hodges,2664
Jackson Showalter,2656
Georg Marco,2653
Szymon Winawer,2648
Moritz Porges,2647
Gyula Makovets,2646
Samuel Lipsch\xfctz,2643
Dawid Janowsky,2640
Hermann von Gottschall,2639
Adolf Albin,2638
Theodor von Scheve,2633
Horatio Caro,2632
Emanuel Schiffers,2621
Harry Pillsbury,2620
Stanislaus Sittenfeld,2611
Carl Schlechter,2603
Jacques Mieses,2603
Edward Hymes,2596
Johann Berger,2593
Johannes Metger,2581
Arthur Kaufmann,2580
James Mason,2577
Joseph Blake,2576
Arnold Schottl\xe4nder,2571
Wilhelm Cohn,2569
Berthold Englisch,2568
Jacques Schwarz,2562
Samuel Tinsley,2561
Adolf Cs\xe1nk,2560
Robert Wehner,2559
John Owen,2553
Norman van Lennep,2553
John Baird,2552
Josef Noa,2547
Adolf Zinkl,2545
Max Judd,2543
Eugene Delmar,2542
Karl Eisenbach,2537
Siegmund Pollak,2533
Jean Taubenhaus,2533
Hugo S\xfcchting,2531
Albert Kauders,2528
Joachim Weiss,2527
J Moore Hanham,2525
B Jankowitsch,2524
Rudolf Loman,2516
George Farnsworth,2516
Francis Lee,2516
Louis van Vliet,2512
Henry Bird,2511
Theophil,2509
Jacob Halpern,2506
S Riccardo Rocamora,2503
Andr\xe9s V\xe1squez,2494
Herbert Trenchard,2486
Emil Schallopp,2483
Louis Jr Schmidt,2481
John Ryan,2480
Alfred Ettlinger,2477
David Baird,2476
Nicolai Jasnogrodsky,2473
Wilfried Paulsen,2469
Emil Kergel,2468
Paul Seuffert,2466
Arthur Skipworth,2465
Kasimir de Weydlich,2460
Emil Hoffmeister,2459
Edward Olly,2456
William Pollock,2456
Saualory,2452
Hermann Keidanski,2452
Moritz Lewitt,2449
Siegfried Wolf,2445
Friedrich Weiss,2444
Gr\xfcnberger,2433
Julius Thirring,2428
Gottlieb Kern,2419
Ernst Varain,2412
Owitz,2411
Sonatore,2394
F Fritscher,2394
George Gossip,2390
Heinrich Schlemm,2368
Leopold L\xf6wy,2368
Franz Siedeberg,2325
Markus Juer,2318
Seidel,2318
Oskar Bachstelz,2307
