Name,Rating
Veselin Topalov,2791
Alexander Morozevich,2787
Vassily Ivanchuk,2786
Magnus Carlsen,2786
Viswanathan Anand,2783
Vladimir Kramnik,2772
Levon Aronian,2757
Teimour Radjabov,2752
Peter Leko,2747
Dmitry Jakovenko,2737
Yue Wang,2736
Michael Adams,2734
Sergei Movsesian,2732
Shakhriyar Mamedyarov,2731
Sergey Karjakin,2730
Gata Kamsky,2729
Peter Svidler,2727
Alexei Shirov,2726
Pavel Eljanov,2720
Boris Gelfand,2719
Leinier Dominguez Perez,2719
Ruslan Ponomariov,2719
Alexander Grischuk,2719
Maxime Vachier-Lagrave,2716
Evgeny Alekseev,2715
Xiangzhi Bu,2714
Judit Polgar,2711
Hua Ni,2710
Etienne Bacrot,2705
Hikaru Nakamura,2704
Vugar Gashimov,2703
Sergei Rublevsky,2702
Ivan Cheparinov,2696
Hao Wang,2696
Krishnan Sasikiran,2694
Sergei Tiviakov,2686
Liviu-Dieter Nisipeanu,2684
Evgeniy Najer,2682
Viktor Bologan,2682
Vadim Milov,2681
Zahar Efimenko,2680
Vladimir Akopian,2679
Alexander Moiseenko,2678
Arkadij Naiditsch,2678
Michael Roiz,2677
Laurent Fressinet,2676
Vladimir Malakhov,2675
Evgeny Postny,2674
Alexander Motylev,2672
Rustam Kasimdzhanov,2672
Artyom Timofeev,2670
Alexey Dreev,2670
Ernesto Inarkiev,2669
Predrag Nikolic,2669
Francisco Vallejo Pons,2664
Baadur Jobava,2664
Alexander Areshchenko,2664
Vladislav Tkachiev,2664
Zoltan Almasi,2663
Peter Heine Nielsen,2662
Andrei Volokitin,2659
P. Harikrishna,2659
Ivan Ivanisevic,2658
Boris Avrukh,2657
Alexander Riazantsev,2656
Boris Grachev,2653
Alexander Lastin,2651
Emil Sutovsky,2651
Anatoly Karpov,2651
Gadir Guseinov,2650
Ivan Sokolov,2650
Ilia Smirin,2649
Zhong Zhang,2649
Boris Savchenko,2648
Igor Khenkin,2647
Evgeny Bareev,2647
Pavel V. Tregubov,2646
Vadim Zvjaginsev,2646
Evgeny Tomashevsky,2646
Ferenc Berkes,2645
Kiril Georgiev,2645
Alexander Onischuk,2644
Darmen Sadvakasov,2643
Gabriel Sargissian,2642
Nigel D Short,2642
Konstantin Sakaev,2640
Fabiano Caruana,2640
Murtas Kazhgaleyev,2640
Tomi Nyback,2639
Nikita Vitiugov,2638
Alexander Graf,2636
Pengxiang Zhang,2636
Giovanni Vescovi,2635
Farrukh Amonatov,2634
Mikhail Gurevich,2634
Jan Gustafsson,2634
Yasser Seirawan,2634
Vadim Malakhatko,2633
David Navara,2633
Andrei Istratescu,2633
