Name,Rating
Alexander Alekhine,2845
Jos\xe9 Capablanca,2767
Isaac Kashdan,2742
Aron Nimzowitsch,2722
Efim Bogoljubow,2719
Salo Flohr,2702
Max Euwe,2692
Mir Sultan Khan,2679
Akiba Rubinstein,2678
Saviely Tartakower,2669
Rudolf Spielmann,2658
Milan Vidmar Sr,2652
G\xf6sta Stoltz,2640
Albert Becker,2636
G\xe9za Mar\xf3czy,2632
Boris Kostic,2625
Carl Ahues,2622
J\xe1cobo Bolboch\xe1n,2619
Ernst Gr\xfcnfeld,2613
Edgar Colle,2603
Hermanis Matisons,2600
Lajos Steiner,2594
Ludwig R\xf6dl,2593
Carlos Skalicka,2590
Erich Eliskases,2588
Kurt Richter,2584
Al Horowitz,2576
Paul List,2575
Josef Lokvenc,2574
Baldur H\xf6nlinger,2572
Hans Kmoch,2570
Ludwig Rellstab Sr,2569
Friedrich S\xe4misch,2569
Gideon St\xe5hlberg,2567
Vasja Pirc,2564
Dawid Przepi\xf3rka,2563
Lajos Asztalos,2562
Vladas Mikenas,2561
Esteban Canal,2559
Alexander Kevitz,2555
Karl Helling,2555
Frederick Yates,2554
George Koltanowski,2554
Paul Johner,2553
Frank Marshall,2553
Karel Opocensk\xfd,2552
Herman Steiner,2552
Abraham Kupchik,2551
Endre Steiner,2547
P\xe1l R\xe9thy,2544
Imre K\xf6nig,2542
Karel Treybal,2541
Eugene Znosko-Borovsky,2539
Abraham Baratz,2537
George Thomas,2535
Josef Rejf\xedr,2533
Alejandro Nogues Acuna,2531
Edward Jackson,2530
Karl Gilg,2520
Vladimirs Petrovs,2517
Cayetano Rebizzo,2516
S\xe1ndor Tak\xe1cs,2515
Virgilio Fenoglio,2515
Korn\xe9l Havasi,2513
Isa\xedas Pleci,2513
Hans Johner,2512
Ramon Rey Ardid,2512
Julio Lynch,2510
Salo Landau,2508
Anthony Santasiere,2503
Reginald Michell,2499
Heinrich Wagner,2497
Jose Maria Cristia,2496
Erik Sr Andersen,2496
Victor Soultanb\xe9ieff,2495
Vera Menchik,2494
Kazimierz Makarczyk,2493
Fricis Ap\x9aenieks,2491
Ossip Bernstein,2490
Stefano Rosselli del Turco,2489
Jacques Mieses,2487
Jakob Seitz,2486
Brian Reilly,2486
Victor Berger,2484
Hans M\xfcller,2483
Philip Milner-Barry,2480
Isador Turover,2480
Johannes Hermanus Addicks,2477
Enrique Ibanez,2470
Roberto Grau,2468
Teodor Regedzinski,2467
Theodore Tylor,2467
William Winter,2463
Jos\xe9 Araiza Munoz,2462
Arp\xe1d Vajda,2461
Andor Lilienthal,2458
Mario Monticelli,2458
Manuel Golmayo de la Torriente,2458
Benito Villegas,2457
Laszlo Wiesel,2457
