Name,Rating
Magnus Carlsen,2872
Fabiano Caruana,2822
Liren Ding,2805
Alexander Grischuk,2777
Ian Nepomniachtchi,2774
Levon Aronian,2773
Maxime Vachier-Lagrave,2770
Shakhriyar Mamedyarov,2770
Anish Giri,2768
Wesley So,2765
Teimour Radjabov,2765
Hao Wang,2758
Viswanathan Anand,2758
Richard Rapport,2758
Leinier Dominguez Perez,2758
Jan-Krzysztof Duda,2758
Vladimir Kramnik,2753
Sergey Karjakin,2752
Nikita Vitiugov,2747
Veselin Topalov,2738
Hikaru Nakamura,2736
Yi Wei,2732
Vladislav Artemiev,2731
Dmitry Andreikin,2726
Yangyi Yu,2726
Radoslaw Wojtaszek,2725
Alireza Firouzja,2723
Peter Svidler,2723
Santosh Gujrathi Vidit,2721
David Navara,2717
Pentala Harikrishna,2716
Quang Liem Le,2713
Jeffery Xiong,2712
Xiangzhi Bu,2705
Evgeny Tomashevsky,2705
Kirill Alekseenko,2704
Francisco Vallejo Pons,2704
Vassily Ivanchuk,2698
Maxim Matlakov,2698
Zoltan Almasi,2696
Michael Adams,2694
David Anton Guijarro,2694
Matthew D Sadler,2692
Gabriel Sargissian,2689
Ivan Cheparinov,2686
Boris Gelfand,2686
Anton Korobov,2685
Yuriy Kryvoruchko,2685
Igors Rausis,2685
Alexandr Predke,2684
Dmitry Jakovenko,2684
Daniil Dubov,2683
Chao b Li,2683
Sam Shankland,2683
A.R. Saleh Salem,2682
Etienne Bacrot,2679
David W L Howell,2679
Gawain C B Jones,2679
Alexander Areshchenko,2678
Alexei Shirov,2677
Luke J McShane,2677
Gata Kamsky,2677
Markus Ragger,2674
Parham Maghsoodloo,2674
Sanan Sjugirov,2674
Bassem Amin,2673
Nils Grandelius,2673
Ray Robson,2673
Vladimir Fedoseev,2671
Yue Wang,2669
Nijat Abasov,2668
Vladimir Malakhov,2667
Hua Ni,2667
Gadir Guseinov,2666
Yifan Hou,2664
Hrant Melkumyan,2663
Peter Leko,2663
Illya Nyzhnyk,2662
Rustam Kasimdzhanov,2661
Evgeniy Najer,2661
Andrei Volokitin,2660
Vladislav Kovalev,2660
Samuel Sevian,2660
Liviu-Dieter Nisipeanu,2659
Rauf Mamedov,2659
Alexander Morozevich,2659
Dariusz Swiercz,2659
Ernesto Inarkiev,2658
Alexey Sarana,2656
Aleksey Dreev,2655
Ivan Saric,2655
Andrey Esipenko,2654
B. Adhiban,2654
Jorge Cori,2652
Maxime Lagarde,2651
Sergei Rublevsky,2651
Pavel Eljanov,2650
Grigoriy Oparin,2650
Ferenc Berkes,2649
Constantin Lupulescu,2649
