Name,Rating
Mikhail Botvinnik,2779
Reuben Fine,2753
Alexander Alekhine,2750
Samuel Reshevsky,2744
Paul Keres,2722
Max Euwe,2721
Salo Flohr,2719
Jos\xe9 Capablanca,2711
Erich Eliskases,2684
Vasja Pirc,2674
Vladimir Makogonov,2666
Grigory Levenfish,2662
Gideon St\xe5hlberg,2660
L\xe1szl\xf3 Szab\xf3,2655
Sergey Belavenets,2648
Efim Bogoljubow,2644
Carlos Guimard,2642
Viacheslav Ragozin,2636
Andor Lilienthal,2635
Endre Steiner,2625
Vladimirs Petrovs,2624
Saviely Tartakower,2623
Vsevolod Rauzer,2615
Vladimir Alatortsev,2615
Al Horowitz,2615
Vitaly Chekhover,2612
Lajos Steiner,2610
Georgy Lisitsin,2607
Boris Kostic,2604
Georg Kieninger,2603
Ilia Kan,2603
Isaac Kashdan,2602
Ilya Rabinovich,2601
Alexander Kotov,2599
Peter Dubinin,2596
Ludwig Rellstab Sr,2591
Albert Simonson,2589
Fedor Bohatirchuk,2588
Ludwig Engels,2587
Igor Bondarevsky,2587
Abraham Kupchik,2585
Alexander Konstantinopolsky,2584
Pablo Michel,2580
Roberto Grau,2580
Vassily Smyslov,2579
Paulin Frydman,2576
Milan Vidmar Sr,2574
Rudolf Spielmann,2574
Victor Goglidze,2569
Jorge Pelik\xe1n,2569
Karl Gilg,2569
Vladas Mikenas,2569
Kurt Richter,2566
Mikhail Yudovich,2565
Jan Foltys,2564
Miguel Najdorf,2564
Herbert Heinicke,2564
Johannes van den Bosch,2563
Karel Opocensk\xfd,2562
Lajos Asztalos,2562
Carl Ahues,2557
Salo Landau,2557
Nicolaas Cortlever,2556
Nikolay Riumin,2556
Alexey Sokolsky,2556
Alexander Tolush,2555
Leonid Shamaev,2551
Eero B\xf6\xf6k,2550
Petar Trifunovic,2546
Philip Milner-Barry,2545
Arthur Dake,2545
Eduard Gerstenfeld,2543
Paul Schmidt,2541
George Treysman,2540
Conel Alexander,2538
Josef Lokvenc,2537
Iosif Pogrebissky,2535
Ernst Gr\xfcnfeld,2533
Emil Zinner,2533
Milan Jr Vidmar,2530
Isa\xedas Pleci,2529
Albert Becker,2529
Sidney Bernstein,2527
Movsa Feigin,2526
S. Cohen,2522
Vasily Panov,2522
Karel Treybal,2521
Herman Steiner,2520
Izaak Appel,2520
Alexander Chistiakov,2520
Wilhelm Kuppe,2520
Ern\xf6 Gereben,2518
Josek Kolski,2518
Dmitry Rovner,2517
Nikolay Kopaev,2516
Teodor Regedzinski,2513
Alejandro Nogues Acuna,2513
Peter Romanovsky,2512
M. Broder,2512
Suren Abramian,2511
