Player Name,Rating
Mikhail Tal,2797
Paul Keres,2771
Tigran Petrosian,2760
Vassily Smyslov,2757
Mikhail Botvinnik,2743
Boris Spassky,2740
Svetozar Gligoric,2726
Efim Geller,2726
Viktor Korchnoi,2722
Mark Taimanov,2721
David Bronstein,2715
Ratmir Kholmov,2708
Yury Averbakh,2707
Bobby Fischer,2700
Ludek Pachmann,2695
Lev Polugaevsky,2693
László Szabó,2686
Miguel Najdorf,2680
Samuel Reshevsky,2678
Wolfgang Unzicker,2673
Lajos Portisch,2671
Wolfgang Uhlmann,2669
Oscar Panno,2665
Borislav Ivkov,2662
Aleksandar Matanovic,2662
Fridrik Olafsson,2659
Alexander Kotov,2657
Gedeon Barcza,2654
Bent Larsen,2654
Andrija Fuderer,2650
Miroslav Filip,2650
Isaak Boleslavsky,2646
Bukhuti Gurgenidze,2640
Aivars Gipslis,2638
Alexander Tolush,2635
Max Euwe,2631
Evgeny Vasiukov,2630
Lothar Schmid,2630
William Lombardy,2629
Yury Nikolaevsky,2626
Pal Benko,2625
Lev Aronin,2624
Arturo Pomar Salamanca,2623
Vladimir Antoshin,2620
Jacob Yukhtman,2620
Alexey Suetin,2617
Larry Evans,2616
Nikolay Krogius,2613
Gideon Ståhlberg,2613
Johannes Donner,2610
Semen Furman,2608
Petar Trifunovic,2605
Raúl Sanguinetti,2603
Klaus Darga,2603
Anatoly Lutikov,2601
Daniel Yanofsky,2601
István Bilek,2601
Leonid Stein,2599
Eduard Gufeld,2599
Yury Sakharov,2596
Vladislav Shianovsky,2594
Maximilián Ujtelky,2591
Jonathan Penrose,2589
Rashid Nezhmetdinov,2587
Erich Eliskases,2586
Alexander Cherepkov,2584
Milan Matulovic,2581
Vladimir Simagin,2580
Anatoly Bannik,2580
Mario Bertok,2579
Borislav Milic,2576
Milko Bobotsov,2576
Herman Pilnik,2576
Robert Byrne,2575
Iivo Nei,2573
Zdravko Milev,2573
Salo Flohr,2573
Wolfgang Pietzsch,2573
Božidar Djuraševic,2571
Frank Anderson,2570
Josef Kupper,2566
Arthur Bisguier,2566
Yury Kots,2566
Grigory Goldberg,2565
James Sherwin,2564
Vladimir Bagirov,2561
Georgy Tringov,2560
Petar Smederevac,2560
Rafail Gorenstein,2559
Aleksander Nikitin,2558
Rajko Bogdanovic,2558
Albéric O'Kelly de Galway,2557
Anthony Saidy,2556
Donald Byrne,2556
Georgy Ilivitsky,2555
Eero Böök,2554
Samuil Zhukhovitsky,2551
Vladas Mikenas,2549
Tibor Flórián,2548
Mikhail Bonch-Osmolovsky,2548
