Name,Rating
Magnus Carlsen,2826
Viswanathan Anand,2811
Levon Aronian,2802
Vladimir Kramnik,2800
Teimour Radjabov,2781
Vassily Ivanchuk,2775
Veselin Topalov,2768
Sergey Karjakin,2763
Alexander Morozevich,2762
Hikaru Nakamura,2758
Vugar Gashimov,2757
Peter Svidler,2755
Alexander Grischuk,2752
Boris Gelfand,2744
Evgeny Tomashevsky,2740
Hao Wang,2736
Michael Adams,2734
Shakhriyar Mamedyarov,2733
Gata Kamsky,2732
Ian Nepomniachtchi,2730
Dmitry Jakovenko,2729
Nikita Vitiugov,2729
Fabiano Caruana,2727
David Navara,2724
Ruslan Ponomariov,2723
Peter Leko,2720
Alexander Moiseenko,2715
Quang Liem Le,2714
Etienne Bacrot,2714
Anish Giri,2714
Arkadij Naiditsch,2712
Leinier Dominguez Perez,2712
Aleksey Dreev,2710
Sergei Movsesian,2710
Judit Polgar,2710
Alexander Riazantsev,2710
Maxime Vachier-Lagrave,2710
Zoltan Almasi,2707
Alexei Shirov,2705
Francisco Vallejo Pons,2705
Radoslaw Wojtaszek,2705
Ferenc Berkes,2705
Vladimir Malakhov,2705
Viktor Laznicka,2703
Zahar Efimenko,2702
Chao b Li,2700
Laurent Fressinet,2700
Nigel D Short,2698
Yue Wang,2697
Emil Sutovsky,2696
Andrei Volokitin,2695
Boris Grachev,2693
Peter Heine Nielsen,2693
Pavel Eljanov,2691
Lazaro Bruzon Batista,2689
Krishnan Sasikiran,2689
Dmitry Andreikin,2688
Alexander Areshchenko,2688
Sergei Rublevsky,2686
Ernesto Inarkiev,2686
Loek Van Wely,2686
Vladimir Potkin,2684
Vladimir Akopian,2681
Vadim Zvjaginsev,2680
Baadur Jobava,2678
Alexander Motylev,2678
Tigran Gharamian,2676
Rustam Kasimdzhanov,2675
Alexander Onischuk,2674
Xiangzhi Bu,2673
P. Harikrishna,2673
Mikhail Kobalia,2673
Gabriel Sargissian,2671
Luke J McShane,2671
Evgeny Alekseev,2670
Ilia Smirin,2670
Sergei Azarov,2667
Yuriy Kryvoruchko,2666
Kiril Georgiev,2666
Viktor Bologan,2665
Matthew D Sadler,2662
Markus Ragger,2662
Ngoc Truong Son Nguyen,2662
Csaba Balogh,2662
Daniel Fridman,2661
Denis Khismatullin,2660
Anton Korobov,2660
Liren Ding,2660
Wesley So,2659
Georg Meier,2659
Artyom Timofeev,2659
Sebastien Feller,2658
Yasser Seirawan,2658
Constantin Lupulescu,2657
Hua Ni,2656
Eduardo Iturrizaga,2656
Mateusz Bartel,2653
Vadim Milov,2653
Zoltan Gyimesi,2652
Michael Roiz,2651
