Player Name,Rating
Garry Kasparov,2843
Anatoly Karpov,2817
Jan Timman,2758
Alexander Beliavsky,2753
Artur Jussupow,2743
Mikhail Tal,2738
Viktor Korchnoi,2736
Lajos Portisch,2733
Predrag Nikolic,2733
Nigel Short,2724
Vassily Ivanchuk,2717
Valery Salov,2715
Jonathan Speelman,2712
Rafael Vaganian,2712
Vladimir Tukmakov,2710
Ljubomir Ljubojevic,2709
Yasser Seirawan,2704
Zoltán Ribli,2701
Simen Agdestein,2701
Evgeny Vladimirov,2697
John Nunn,2696
Andrey Kharitonov,2696
Jaan Ehlvest,2696
Robert Hübner,2695
Lev Psakhis,2695
Victor Gavrikov,2695
Andrey Sokolov,2694
Boris Spassky,2694
Ulf Andersson,2692
Alexander Chernin,2691
Viacheslav Eingorn,2689
Mikhail Gurevich,2689
Murray Chandler,2687
Sergey Dolmatov,2687
Bent Larsen,2686
Gyula Sax,2684
Lev Polugaevsky,2683
Oleg Romanishin,2682
Boris Gelfand,2682
Boris Gulko,2679
Alexey Vyzmanavin,2674
John van der Wiel,2674
Larry Christiansen,2673
Alexander Khalifman,2672
Yury Balashov,2671
Evgeny Pigusov,2671
Vladimir Malaniuk,2671
Smbat Lputian,2669
Viswanathan Anand,2667
Ilia Smirin,2667
Vlastimil Hort,2666
Konstantin Lerner,2664
Evgeny Bareev,2663
Zurab Azmaiparashvili,2662
Eduardas Rozentalis,2662
József Pintér,2660
Alexey Dreev,2658
Anthony Miles,2657
Jóhann Hjartarson,2655
Utut Adianto,2654
Yury Dokhoian,2653
Anatoli Vaisser,2652
Joel Benjamin,2651
Iosif Dorfman,2651
Leonid Yudasin,2650
Sergey Smagin,2649
Petar Popovic,2648
Nukhim Rashkovsky,2647
Kiril Georgiev,2647
Curt Hansen,2646
Yury Razuvaev,2646
Lubomir Kavalek,2646
Eugenio Torre,2645
Gregory Kaidanov,2645
Vassily Smyslov,2644
Leonid Yurtaev,2643
Gennady Kuzmin,2643
András Adorján,2640
Alexey Kuzmin,2640
Uwe Bönsch,2639
Yakov Murey,2638
Margeir Pétursson,2637
Jesus Nogueiras,2637
Roberto Cifuentes Parada,2637
Valery Neverov,2635
Lembit Oll,2635
Michal Krasenkow,2635
Sergey Makarichev,2633
Gennady Zaichik,2633
Yehuda Gruenfeld,2632
Daniel Cámpora,2632
Alexander Goldin,2632
Igor Novikov,2631
Helgi Olafsson,2631
Adrian Mikhalchishin,2631
Gennady Timoshchenko,2630
Vladimir Epishin,2630
Elmar Magerramov,2629
Mihai Suba,2629
Lubomír Ftácnik,2629
