Name,Rating
Jos\xe9 Capablanca,2851
Emanuel Lasker,2793
Alexander Alekhine,2711
Milan Vidmar Sr,2709
Efim Bogoljubow,2707
Frank Marshall,2698
Akiba Rubinstein,2696
Boris Kostic,2695
Richard R\xe9ti,2692
Saviely Tartakower,2676
Oscar Chajes,2646
Siegbert Tarrasch,2628
G\xe9za Mar\xf3czy,2621
Rudolf Spielmann,2621
Dawid Janowsky,2621
Aron Nimzowitsch,2600
Gyula Breyer,2599
Alexey Selezniev,2599
Jacques Mieses,2581
Arthur Kaufmann,2575
Georg Marco,2564
Walter John,2552
Ernst Gr\xfcnfeld,2552
George Thomas,2535
Paul Johner,2531
J\xf8rgen M\xf8ller,2522
Roy Black,2507
Max Euwe,2486
Friedrich S\xe4misch,2477
Adolf Olland,2472
Max Marchand,2463
John Morrison,2462
Roland Scott,2460
Gerard Kroone,2459
Henri Weenink,2442
Gerard Oskam,2414
Willem Schelfhout,2356
