Name,Rating
Emanuel Lasker,2864
Siegbert Tarrasch,2824
Wilhelm Steinitz,2764
Mikhail Chigorin,2749
Paul Lipke,2724
Richard Teichmann,2706
Joseph Blackburne,2700
Curt von Bardeleben,2684
Carl Walbrodt,2680
Alfred Jecke,2665
Albert Hodges,2665
Jackson Showalter,2658
Georg Marco,2655
Szymon Winawer,2646
Moritz Porges,2645
Gyula Makovets,2643
Dawid Janowsky,2641
Adolf Albin,2640
Samuel Lipsch\xfctz,2635
Hermann von Gottschall,2635
Theodor von Scheve,2632
Horatio Caro,2629
Emanuel Schiffers,2623
Harry Pillsbury,2620
Stanislaus Sittenfeld,2611
Carl Schlechter,2606
Jacques Mieses,2605
Edward Hymes,2596
Johann Berger,2594
Arthur Kaufmann,2581
Joseph Blake,2576
James Mason,2576
Berthold Englisch,2576
Arnold Schottl\xe4nder,2571
Wilhelm Cohn,2570
Jacques Schwarz,2559
Adolf Cs\xe1nk,2559
Robert Wehner,2558
John Baird,2554
John Owen,2553
Norman van Lennep,2552
Josef Noa,2548
Adolf Zinkl,2546
Eugene Delmar,2545
Max Judd,2543
Jean Taubenhaus,2536
Karl Eisenbach,2536
Siegmund Pollak,2534
Hugo S\xfcchting,2532
Albert Kauders,2528
Joachim Weiss,2527
J Moore Hanham,2526
B Jankowitsch,2522
George Farnsworth,2518
Francis Lee,2517
Rudolf Loman,2517
Louis van Vliet,2513
Henry Bird,2510
Theophil,2510
Jacob Halpern,2508
S Riccardo Rocamora,2505
Andr\xe9s V\xe1squez,2486
Herbert Trenchard,2486
Emil Schallopp,2482
Louis Jr Schmidt,2482
John Ryan,2481
Alfred Ettlinger,2479
David Baird,2477
Nicolai Jasnogrodsky,2473
Wilfried Paulsen,2472
Emil Kergel,2470
Paul Seuffert,2467
Arthur Skipworth,2466
Kasimir de Weydlich,2462
Emil Hoffmeister,2460
Edward Olly,2458
William Pollock,2458
Saualory,2455
Hermann Keidanski,2455
Moritz Lewitt,2451
Friedrich Weiss,2446
Gr\xfcnberger,2436
Julius Thirring,2431
Ernst Varain,2414
Owitz,2413
Sonatore,2397
George Gossip,2392
Franz Siedeberg,2329
Oskar Bachstelz,2311
