Player Name,Rating
Tigran Petrosian,2785
Viktor Korchnoi,2774
Mikhail Tal,2773
Mikhail Botvinnik,2771
Vassily Smyslov,2761
Paul Keres,2757
Boris Spassky,2749
Efim Geller,2741
Bobby Fischer,2730
Ratmir Kholmov,2729
Svetozar Gligoric,2714
Mark Taimanov,2708
Yury Averbakh,2703
Lev Polugaevsky,2689
Samuel Reshevsky,2677
Miguel Najdorf,2677
Wolfgang Unzicker,2673
David Bronstein,2670
William Lombardy,2664
László Szabó,2664
Lajos Portisch,2661
Borislav Ivkov,2656
Evgeny Vasiukov,2654
Aleksandar Matanovic,2652
Fridrik Olafsson,2652
Karl Robatsch,2650
Vladimir Bagirov,2650
Wolfgang Uhlmann,2648
Lothar Schmid,2644
Miroslav Filip,2641
Ludek Pachmann,2639
Larry Evans,2638
Arturo Pomar Salamanca,2636
Robert Byrne,2636
Isaak Boleslavsky,2633
Leonid Stein,2631
Lev Aronin,2628
Aivars Gipslis,2628
Alexander Cherepkov,2624
Vladimir Antoshin,2624
Vladimir Simagin,2620
Nikolay Krogius,2617
Alexander Kotov,2616
Andrija Fuderer,2613
Vladas Mikenas,2613
Milan Matulovic,2609
Bent Larsen,2608
Héctor Rossetto,2608
Gedeon Barcza,2606
Jacob Yukhtman,2605
Yury Nikolaevsky,2604
Petar Trifunovic,2601
Raúl Sanguinetti,2601
Julio Bolbochán,2600
István Bilek,2594
Pal Benko,2594
Arthur Bisguier,2594
Anatoly Lutikov,2592
Milko Bobotsov,2588
Klaus Darga,2588
Nikola Padevsky,2587
Jonathan Penrose,2587
Johannes Donner,2583
Mijo Udovcic,2583
James Sherwin,2582
Eduard Gufeld,2582
Semen Furman,2581
Charles Kalme,2579
Carlos Guimard,2578
Božidar Djuraševic,2577
Bukhuti Gurgenidze,2576
Rashid Nezhmetdinov,2575
Cenek Kottnauer,2573
Samuel Schweber,2571
Milan Vukcevich,2571
Mario Bertok,2571
Janis Klovans,2570
Herman Pilnik,2568
Alexey Suetin,2568
Anatoly Bannik,2568
Alexander Tolush,2567
Igor Bondarevsky,2565
Albéric O'Kelly de Galway,2563
Jindrich Trapl,2562
Raymond Weinstein,2561
Theodor Ghitescu,2560
Vitaly Tarasov,2558
Alfredo Espósito,2557
Borislav Milic,2556
Iivo Nei,2556
Andreas Dueckstein,2554
Stojan Puc,2550
Salo Flohr,2550
Tjeerd van Scheltinga,2549
Erich Eliskases,2548
Petar Smederevac,2548
Zdravko Milev,2547
Eero Böök,2546
Yury Sakharov,2546
Atanas Kolarov,2545
