Name,Rating
Garry Kasparov,2802
Viswanathan Anand,2784
Vladimir Kramnik,2758
Alexander Morozevich,2748
Veselin Topalov,2747
Peter Leko,2741
Michael Adams,2740
Alexei Shirov,2736
Peter Svidler,2735
Judit Polgar,2735
Ruslan Ponomariov,2724
Alexander Grischuk,2722
Evgeny Bareev,2719
Vassily Ivanchuk,2717
Nigel Short,2711
Boris Gelfand,2708
Etienne Bacrot,2702
Alexey Dreev,2700
Vladimir Akopian,2694
Liviu-Dieter Nisipeanu,2685
Nigel D. Short,2685
Anatoly Karpov,2684
Ivan Sokolov,2683
Emil Sutovsky,2683
Loek Van Wely,2680
Joel Lautier,2678
Rafael Vaganian,2678
Predrag Nikolic,2676
Viktor Bologan,2674
Levon Aronian,2674
Loek van Wely,2673
Mikhail Gurevich,2672
Alexander Khalifman,2672
Zurab Azmaiparashvili,2672
Alexander G Beliavsky,2672
Vladimir Malakhov,2671
Konstantin Sakaev,2670
Jiangchuan Ye,2670
Teimour Radjabov,2666
Francisco Vallejo Pons,2663
Vadim Milov,2663
Sergei Rublevsky,2662
Alexander Beliavsky,2661
Alexander Graf,2660
Krishnan Sasikiran,2660
Rustam Kasimdzhanov,2659
Ilia Smirin,2659
Alexander Motylev,2658
Aleksej Aleksandrov,2658
Shakhriyar Mamedyarov,2654
Giovanni Vescovi,2653
Peter Heine Nielsen,2653
Vadim Zvjaginsev,2651
Alexander Onischuk,2651
Alexander Moiseenko,2648
Sergei Movsesian,2647
Zoltan Almasi,2646
Ye Jiangchuan,2646
Kiril Georgiev,2642
Michal Krasenkow,2641
Rafael A Vaganian,2641
Lenier Dominguez,2639
Luke J. McShane,2638
Evgeniy Najer,2636
Evgeny Vladimirov,2636
Luke McShane,2635
Lazaro Bruzon Bautista,2634
Smbat G Lputian,2634
Zdenko Kozul,2633
Viorel Iordachescu,2632
Bu Xiangzhi,2631
Ni Hua,2631
Lazaro Bruzon,2631
Sergey Volkov,2630
Andrei Volokitin,2630
Gabriel Sargissian,2629
Karen Asrian,2629
Bartlomiej Macieja,2628
Andrei Istratescu,2628
Pavel V. Tregubov,2628
Johann Hjartarson,2628
Valerij Filippov,2628
Jaan Ehlvest,2627
Curt Hansen,2627
Eduardas Rozentalis,2626
Darmen Sadvakasov,2625
Laurent Fressinet,2625
Smbat Lputian,2624
Yasser Seirawan,2624
Robert Dr. Huebner,2624
Jeroen Piket,2624
Vladimir Epishin,2623
Igor Miladinovic,2623
Semen Dvoiris,2622
Alexander Goldin,2622
Pavel Smirnov,2622
Vladislav Tkachiev,2621
Pavel Tregubov,2621
Andrey Kharitonov,2621
Rustem Dautov,2621
