Name,Rating
Mikhail Botvinnik,2760
Jos\xe9 Capablanca,2756
Samuel Reshevsky,2753
Max Euwe,2751
Alexander Alekhine,2740
Salo Flohr,2739
Reuben Fine,2702
Emanuel Lasker,2676
Paul Keres,2674
Andor Lilienthal,2669
Isaac Kashdan,2657
Arthur Dake,2650
Efim Bogoljubow,2644
Lajos Steiner,2640
George Treysman,2635
Erich Eliskases,2634
Saviely Tartakower,2631
Jan Foltys,2628
Vasja Pirc,2628
Miguel Najdorf,2626
Paul Schmidt,2625
L\xe1szl\xf3 Szab\xf3,2623
Gideon St\xe5hlberg,2623
Peter Romanovsky,2619
Viacheslav Ragozin,2619
Henryk Friedmann,2617
Ilia Kan,2613
Karel Opocensk\xfd,2611
Grigory Levenfish,2609
G\xe9za Mar\xf3czy,2607
Pablo Michel,2606
Rudolf Spielmann,2605
Abraham Kupchik,2602
Carl Ahues,2602
Paulin Frydman,2600
Kurt Richter,2599
Vsevolod Rauzer,2598
George Koltanowski,2595
Nikolay Riumin,2591
Herbert Heinicke,2587
Georgy Lisitsin,2585
Josek Kolski,2581
Ludwig Engels,2580
Ernst Gr\xfcnfeld,2578
Albert Simonson,2576
Vladimir Alatortsev,2571
Milan Vidmar Sr,2570
Jorge Pelik\xe1n,2568
Kurt1 Richter,2565
Isa\xedas Pleci,2559
Ossip Bernstein,2559
Ilya Rabinovich,2559
Fedor Bohatirchuk,2558
G\xf6sta Stoltz,2558
Aaron Schwartzman,2557
Alexander Konstantinopolsky,2555
Albert Becker,2554
Petar Trifunovic,2549
Roberto Grau,2547
Erik Lundin,2546
Vitaly Chekhover,2546
Ludwig Rellstab Sr,2546
Mikhail Yudovich,2545
Friedrich S\xe4misch,2542
Samuel Factor,2541
Korn\xe9l Havasi,2540
Ern\xf6 Gereben,2540
Wilhelm Ernst,2539
Al Horowitz,2539
Karl Gilg,2538
Simon Rubinstein,2537
Movsa Feigin,2536
Vladimirs Petrovs,2535
Ludwig R\xf6dl,2534
Emil Zinner,2532
Fricis Ap\x9aenieks,2531
Erik Sr Andersen,2531
Alexander Kevitz,2528
Boris Kostic,2524
Arnold Denker,2523
Bj\xf8rn Nielsen,2522
Hans Kmoch,2519
Josef Rejf\xedr,2516
Johannes van den Bosch,2516
Sergey Belavenets,2516
Salo Landau,2515
J\xe1cobo Bolboch\xe1n,2510
Carlos Guimard,2509
Karel Treybal,2507
Vladimir Makogonov,2506
Karl Helling,2506
Hans Johner,2505
Eero B\xf6\xf6k,2504
Isakas Vistaneckis,2502
Frank Marshall,2502
Luis Argentino Palau,2502
Endre Steiner,2502
Alexander Ilyin-Zhenevsky,2501
Teodor Regedzinski,2500
Luis Piazzini,2497
