Player Name,Rating
Bobby Fischer,2796
Viktor Korchnoi,2775
Boris Spassky,2753
Mikhail Botvinnik,2747
Mikhail Tal,2746
Vassily Smyslov,2740
Bent Larsen,2739
Tigran Petrosian,2739
Lev Polugaevsky,2738
Leonid Stein,2737
Efim Geller,2723
Lajos Portisch,2714
Paul Keres,2708
Ratmir Kholmov,2704
Mark Taimanov,2702
Vlastimil Hort,2699
David Bronstein,2695
Nikolay Krogius,2677
Svetozar Gligoric,2673
Wolfgang Unzicker,2667
Miguel Najdorf,2663
Milan Matulovic,2663
Florin Gheorghiu,2661
Pal Benko,2659
Samuel Reshevsky,2659
Semen Furman,2659
Aivars Gipslis,2657
Wolfgang Uhlmann,2650
Larry Evans,2649
Anatoly Lutikov,2648
Alexey Suetin,2647
Leonid Shamkovich,2646
Borislav Ivkov,2645
Alexander Zaitsev,2644
Anatoly Lein,2640
Dragoljub Ciric,2638
Yury Sakharov,2635
Evgeny Vasiukov,2634
Aleksandar Matanovic,2633
Eduard Gufeld,2632
Rudolf Teschner,2631
Vladimir Savon,2631
Bruno Parma,2630
Igor Platonov,2629
Oscar Panno,2629
Isaak Boleslavsky,2628
Viacheslav Osnos,2627
Vladimir Antoshin,2627
Vladimir Liberzon,2627
Victor Zheliandinov,2624
Fridrik Olafsson,2619
Klaus Darga,2619
Boris Vladimirov,2610
Helmut Pfleger,2610
Vladimir Simagin,2608
Robert Hübner,2608
Vladimir Tukmakov,2607
Georgy Tringov,2607
Roman Dzindzichashvili,2604
Bukhuti Gurgenidze,2603
Lothar Schmid,2603
Johannes Donner,2602
Robert Byrne,2601
Ludek Pachmann,2599
Janesz Stupica,2599
Yury Averbakh,2599
István Bilek,2597
Anatoly Bikhovsky,2597
Gedeon Barcza,2595
László Szabó,2594
Enver Bukic,2593
Aleksander Nikitin,2591
Lubomir Kavalek,2591
Hrvoje Messing,2590
Miroslav Filip,2589
Alexander Kotov,2585
Arturo Pomar Salamanca,2585
Levon Grigorian,2582
Milko Bobotsov,2582
Albert Kapengut,2582
Gyözö Forintos,2579
Dusan Ivkovic,2579
Henrique Mecking,2578
Oleg Chernikov,2578
Raúl Sanguinetti,2576
Abram Khasin,2576
Bojan Kurajica,2576
Laszlo Barczay,2575
Salo Flohr,2575
Julio Bolbochán,2573
Anthony Saidy,2572
Igor Zaitsev,2572
Nikola Padevsky,2572
Vladimir Bagirov,2570
Eduard Mnatsakanian,2569
Lothar Zinn,2568
Albéric O'Kelly de Galway,2562
Jonathan Penrose,2562
Vladimir Sergievsky,2560
Samuil Zhukhovitsky,2559
