Name,Rating
Mikhail Botvinnik,2769
Reuben Fine,2752
Alexander Alekhine,2749
Samuel Reshevsky,2743
Salo Flohr,2719
Max Euwe,2718
Jos\xe9 Capablanca,2717
Paul Keres,2716
Erich Eliskases,2684
Grigory Levenfish,2677
Vasja Pirc,2673
Gideon St\xe5hlberg,2659
Efim Bogoljubow,2653
L\xe1szl\xf3 Szab\xf3,2652
Vladimir Makogonov,2646
Viacheslav Ragozin,2640
Saviely Tartakower,2630
Andor Lilienthal,2629
Vladimirs Petrovs,2629
Endre Steiner,2625
Lajos Steiner,2623
Carlos Guimard,2622
Boris Kostic,2620
Al Horowitz,2618
Ilia Kan,2615
Vsevolod Rauzer,2614
Sergey Belavenets,2609
Vladimir Alatortsev,2608
Isaac Kashdan,2607
Georg Kieninger,2606
Ilya Rabinovich,2599
Albert Simonson,2595
Ludwig Rellstab Sr,2593
Ludwig Engels,2591
Abraham Kupchik,2590
Georgy Lisitsin,2588
Pablo Michel,2583
Fedor Bohatirchuk,2579
Miguel Najdorf,2579
Alexander Konstantinopolsky,2578
Paulin Frydman,2577
Rudolf Spielmann,2577
Vassily Smyslov,2576
Peter Romanovsky,2574
Johannes van den Bosch,2573
Vitaly Chekhover,2571
Herbert Heinicke,2571
Kurt Richter,2568
Karl Gilg,2567
Jorge Pelik\xe1n,2567
Jan Foltys,2566
Karel Opocensk\xfd,2565
Peter Dubinin,2565
Salo Landau,2565
Carl Ahues,2564
Alexander Chistiakov,2564
Victor Goglidze,2563
Alexander Tolush,2558
Nikolay Riumin,2557
Arthur Dake,2557
Milan Vidmar Sr,2556
Vladas Mikenas,2555
Mikhail Yudovich,2555
Eero B\xf6\xf6k,2549
George Treysman,2548
Alexey Sokolsky,2548
Igor Bondarevsky,2546
Eduard Gerstenfeld,2544
Paul Schmidt,2543
Emil Zinner,2543
Philip Milner-Barry,2541
G\xf6sta Stoltz,2541
Ernst Gr\xfcnfeld,2541
Leonid Shamaev,2540
Petar Trifunovic,2539
Roberto Grau,2538
Conel Alexander,2536
Albert Becker,2535
Lajos Asztalos,2534
Josef Lokvenc,2532
Iosif Pogrebissky,2532
Nicolaas Cortlever,2532
Ern\xf6 Gereben,2527
S. Cohen,2526
Sidney Bernstein,2526
Milan Jr Vidmar,2526
Josek Kolski,2524
Karel Treybal,2524
Herman Steiner,2522
Movsa Feigin,2522
Wilhelm Kuppe,2522
Izaak Appel,2522
Adrianus de Groot,2518
Teodor Regedzinski,2517
Berthold Koch,2515
Alexander Kotov,2513
Hans M\xfcller,2512
M. Broder,2510
Anton Kohler,2508
Suren Abramian,2507
