Player Name,Rating
Bobby Fischer,2794
Viktor Korchnoi,2778
Boris Spassky,2754
Mikhail Tal,2743
Mikhail Botvinnik,2742
Lev Polugaevsky,2740
Bent Larsen,2739
Vassily Smyslov,2738
Tigran Petrosian,2737
Leonid Stein,2731
Efim Geller,2726
Lajos Portisch,2724
Paul Keres,2707
Ratmir Kholmov,2704
Mark Taimanov,2702
Vlastimil Hort,2700
David Bronstein,2695
Nikolay Krogius,2678
Svetozar Gligoric,2673
Wolfgang Unzicker,2667
Milan Matulovic,2666
Semen Furman,2661
Pal Benko,2660
Samuel Reshevsky,2658
Aivars Gipslis,2658
Miguel Najdorf,2656
Yury Sakharov,2655
Larry Evans,2652
Florin Gheorghiu,2651
Alexey Suetin,2646
Alexander Zaitsev,2645
Wolfgang Uhlmann,2642
Anatoly Lein,2642
Evgeny Vasiukov,2641
Borislav Ivkov,2640
Leonid Shamkovich,2639
Anatoly Lutikov,2638
Vladimir Savon,2638
Eduard Gufeld,2637
Fridrik Olafsson,2636
Dragoljub Ciric,2636
Aleksandar Matanovic,2633
Viacheslav Osnos,2629
Vladimir Liberzon,2628
Vladimir Antoshin,2626
Bruno Parma,2625
Oscar Panno,2623
Isaak Boleslavsky,2620
Igor Platonov,2620
Klaus Darga,2618
Robert Hübner,2614
Victor Zheliandinov,2614
Lubomir Kavalek,2611
Vladimir Simagin,2610
Boris Vladimirov,2608
Georgy Tringov,2606
Lothar Schmid,2600
Jan Smejkal,2598
Bukhuti Gurgenidze,2598
Robert Byrne,2598
Helmut Pfleger,2597
Ludek Pachmann,2596
Janesz Stupica,2594
Anatoly Bikhovsky,2594
Gedeon Barcza,2593
Yury Averbakh,2592
László Szabó,2592
István Bilek,2591
Miroslav Filip,2591
Abram Khasin,2590
Milko Bobotsov,2589
Johannes Donner,2588
Rudolf Teschner,2588
Aleksander Nikitin,2587
Gyözö Forintos,2584
Arturo Pomar Salamanca,2584
Vladimir Tukmakov,2579
Laszlo Barczay,2578
Alexander Kotov,2578
Raúl Sanguinetti,2578
Henrique Mecking,2577
Oleg Chernikov,2575
Hrvoje Messing,2574
Bojan Kurajica,2572
Salo Flohr,2571
Enver Bukic,2571
Eduard Mnatsakanian,2570
Vladimir Bagirov,2569
Dragoljub Velimirovic,2569
Lothar Zinn,2568
Igor Zaitsev,2568
Levente Lengyel,2567
Nikola Padevsky,2567
Heikki MJ Westerinen,2567
Dragoljub Minic,2565
Albert Kapengut,2565
Predrag Ostojic,2563
Anthony Saidy,2563
Ervin Haag,2562
Vladimir Sergievsky,2562
