Name,Rating
Wilhelm Steinitz,2747
Joseph Blackburne,2740
Isidor Gunsberg,2716
Miksa Weiss,2701
George Mackenzie,2681
Amos Burn,2671
Siegbert Tarrasch,2653
Berthold Englisch,2652
Curt von Bardeleben,2641
Emil Schallopp,2639
Johann Berger,2632
Johannes Zukertort,2631
Louis Paulsen,2609
Eugene Delmar,2596
Samuel Lipsch\xfctz,2592
Emanuel Schiffers,2586
James Mason,2584
Fritz Riemann,2583
Hyde,2580
Semyon Alapin,2572
Hartshorne,2569
Henry Bird,2566
Celso Golmayo Zupide,2552
Gustave Simonson,2551
John Ryan,2550
Paul Seuffert,2543
Jean Taubenhaus,2543
Hermann von Gottschall,2537
Josef Noa,2535
Johannes Metger,2532
J Moore Hanham,2532
Jacques Mieses,2522
Hans von Minckwitz,2521
William Pollock,2513
Max Harmonist,2511
Theodor von Scheve,2508
Francis Lee,2507
Horatio Caro,2507
Max Judd,2501
L Rothschild,2500
Antony Guest,2495
John Owen,2484
George MacDonnell,2482
Clapp,2482
S Alexi,2477
Henry Schieffelin,2472
Alexander Fritz,2472
Charles Isaacson,2469
Arthur Skipworth,2468
David Baird,2464
Albert Hodges,2464
D\'Oench,2460
Arnold Schottl\xe4nder,2457
Wilfried Paulsen,2450
Carl Ahlhausen,2449
Bernhard H\xfclsen,2443
Berthold Lasker,2443
Max Bier,2440
Daniel Mills,2439
August Vorrath,2436
Dahn,2432
J Schlesinger,2432
Edmund Thorold,2423
J Porterfield Rynd,2415
Andr\xe9s V\xe1squez,2401
George Carpenter,2399
Henry Reeves,2398
Albert von Rothschild,2395
Vicente Carvajal,2391
James Mortimer,2390
Wordsworth Donisthorpe,2364
Oskar Cordel,2363
Charles Locock,2343
John Bierbach,2338
Spiegle,2319
Karl Rothl\xe4nder,2308
Wilfred Palmer,2303
Leopold Landau,2302
Albert Heyde,2301
John Chambers,2291
Kirdorf,2280
