Name,Rating
Alexander Alekhine,2806
Jos\xe9 Capablanca,2800
Aron Nimzowitsch,2772
Efim Bogoljubow,2759
Max Euwe,2742
Milan Vidmar Sr,2710
Akiba Rubinstein,2702
Saviely Tartakower,2687
Rudolf Spielmann,2672
Richard R\xe9ti,2666
Friedrich S\xe4misch,2663
Frank Marshall,2654
Ernst Gr\xfcnfeld,2635
G\xe9za Mar\xf3czy,2612
Isaac Kashdan,2611
Dawid Przepi\xf3rka,2609
Hermanis Matisons,2603
Paul Johner,2600
Boris Kostic,2599
Carl Ahues,2597
Bernhard Lichtenstein,2594
Endre Steiner,2594
Hans Kmoch,2593
Arp\xe1d Vajda,2590
Lajos Asztalos,2586
Ilya Rabinovich,2586
Abraham Kupchik,2585
Frederick Yates,2577
S\xe1ndor Tak\xe1cs,2574
Edgar Colle,2573
Albert Becker,2572
Andr\xe9 Muffang,2572
George Thomas,2571
Peter Romanovsky,2569
Karel Treybal,2567
Paul List,2565
Norman Whitaker,2565
Karl Helling,2564
Manuel Golmayo de la Torriente,2561
Siegbert Tarrasch,2561
Karl Gilg,2561
Alfred Brinckmann,2560
Samuel Factor,2559
Lajos Steiner,2554
Karel Opocensk\xfd,2553
Carl Carls,2552
Victor Berger,2549
Josef Lokvenc,2548
Kurt Richter,2548
Wilhelm Orbach,2543
George Koltanowski,2537
William Winter,2533
Vera Menchik,2532
Salo Flohr,2532
Korn\xe9l Havasi,2530
Erik Sr Andersen,2530
S\xe1ndor Tak\xe1cs,2528
Heinrich Wagner,2527
William Fairhurst,2526
Mario Monticelli,2525
Herman Steiner,2524
Alexander Ilyin-Zhenevsky,2524
Karl Berndtsson-Kullberg,2523
G\xe9za Nagy,2515
Jacques Mieses,2515
Alfred Van Nuess,2512
Ladislav Proke\x9a,2512
G\xf6sta Stoltz,2507
Hans M\xfcller,2507
Baldur H\xf6nlinger,2505
Abram Blass,2502
Roberto Grau,2501
Kazimierz Makarczyk,2501
Victor Soultanb\xe9ieff,2494
Jakob Seitz,2494
Jindrich Engel,2493
Gottlieb Machate,2492
Simon Rotenstein,2492
Jacques Davidson,2490
Salo Landau,2486
Karel Hrom\xe1dka,2486
Willi Schlage,2483
Zolt\xe1n Balla,2480
Carlos Maderna,2480
Gideon St\xe5hlberg,2480
Vladimir Vukovic,2478
Eugene Znosko-Borovsky,2478
Wilhelm Hilse,2476
Josef Rejf\xedr,2475
August Georg Preusse,2474
Ladislaus Von Doery,2474
Robert Cr\xe9peaux,2473
Reginald Michell,2472
Willem Wertheim,2470
Edward Sergeant,2470
Maurice Goldstein,2469
Gerard Kroone,2467
Berthold Koch,2467
Walter Michel,2467
Carl Ruben,2467
