Name,Rating
Emanuel Lasker,2855
Jos\xe9 Capablanca,2848
Alexander Alekhine,2777
Frank Marshall,2748
Milan Vidmar Sr,2727
Akiba Rubinstein,2702
Boris Kostic,2696
Rudolf Spielmann,2681
Siegbert Tarrasch,2657
Richard R\xe9ti,2652
Saviely Tartakower,2644
Oscar Chajes,2644
Dawid Janowsky,2641
Arthur Kaufmann,2614
Gyula Breyer,2603
Efim Bogoljubow,2587
Lajos Asztalos,2584
Zolt\xe1n Balla,2564
Charles Jaffe,2551
Walter John,2548
Jacques Mieses,2528
Roy Black,2505
Boris Verlinsky,2497
Gustaf Nyholm,2450
John Morrison,2443
