Name,Rating
Mikhail Botvinnik,2770
Samuel Reshevsky,2753
Alexander Alekhine,2751
Paul Keres,2733
Gideon St\xe5hlberg,2725
Reuben Fine,2720
Max Euwe,2719
Vassily Smyslov,2710
Miguel Najdorf,2706
Paul Schmidt,2691
Erich Eliskases,2682
Andor Lilienthal,2681
Al Horowitz,2674
Isaak Boleslavsky,2668
Vladimir Makogonov,2666
Igor Bondarevsky,2665
Klaus Junge,2653
G\xf6sta Stoltz,2649
Efim Bogoljubow,2643
Salo Flohr,2641
Kurt Richter,2640
Erik Lundin,2633
Paulin Frydman,2631
Isaac Kashdan,2624
Ludwig Engels,2624
Vladimirs Petrovs,2623
Peter Dubinin,2620
Walter Schmahl,2619
Gavriil Veresov,2618
Jan Foltys,2616
Viacheslav Ragozin,2606
Anton Kohler,2603
Vladas Mikenas,2599
Alexander Kotov,2596
Bj\xf8rn Nielsen,2594
Georgy Lisitsin,2593
Mark Stolberg,2591
Hans M\xfcller,2584
Albert Pinkus,2582
Ilia Kan,2582
Arnoldus van den Hoek,2581
Alexander Konstantinopolsky,2579
Karl Gilg,2578
Carlos Guimard,2575
Eduard Gerstenfeld,2575
L\xe1szl\xf3 Szab\xf3,2574
Georg Kieninger,2569
Movsa Feigin,2569
Albert Simonson,2569
Josef Lokvenc,2566
Ludovit Potucek,2565
Pablo Michel,2564
Vasily Panov,2563
Arnold Denker,2562
Vladimir Alatortsev,2562
Herman Pilnik,2561
J\xe1cobo Bolboch\xe1n,2559
Alexey Sokolsky,2558
Karel Opocensk\xfd,2556
Jacob Levin,2556
Abraham Kupchik,2555
Grigory Levenfish,2550
Walter Loose,2548
Herbert Heinicke,2547
Gerhard Pfeiffer,2544
Evgeny Zagoriansky,2543
Genrikh Kasparian,2543
H\xe9ctor Rossetto,2539
Julio Bolboch\xe1n,2538
Haije Kramer,2537
Cenek Kottnauer,2533
Ludwig Rellstab Sr,2532
Iosif Rudakovsky,2531
Rudolf Palme,2531
Grigory Ravinsky,2531
Fred Reinfeld,2529
Samuil Zhukhovitsky,2528
G\xe9za F\xfcster,2528
Jorge Pelik\xe1n,2528
Rudolf1 Keller,2527
Miroslav Katetov,2523
Karel Hrom\xe1dka,2523
P\xe1l R\xe9thy,2522
Tjeerd van Scheltinga,2520
Sidney Bernstein,2518
Franti\x9aek Z\xedta,2518
Vitaly Chekhover,2517
Lev Kaiev,2516
Johannes van den Bosch,2514
Teodor Regedzinski,2513
Salo Landau,2512
Moshe Czerniak,2511
Kurt Rahn,2510
J\xf3zsef Szily,2508
George Shainswit,2507
Wilhelm Ernst,2506
Benito Villegas,2506
Franciszek Sulik,2502
David Polland,2501
Eduard Hahn,2499
