Name,Rating
Emanuel Lasker,2822
Jos\xe9 Capablanca,2818
Alexander Alekhine,2776
Akiba Rubinstein,2762
Frank Marshall,2738
Aron Nimzowitsch,2714
Richard Teichmann,2708
Rudolf Spielmann,2707
Siegbert Tarrasch,2701
Carl Schlechter,2698
Milan Vidmar Sr,2689
Ossip Bernstein,2675
Saviely Tartakower,2659
Oldrich Duras,2658
Dawid Janowsky,2642
Lajos Asztalos,2625
Gyula Breyer,2625
Eugene Znosko-Borovsky,2613
G\xe9za Mar\xf3czy,2610
Richard R\xe9ti,2588
Grigory Levenfish,2586
Zolt\xe1n Balla,2577
Joseph Blackburne,2576
Amos Burn,2575
Hugo S\xfcchting,2570
Dawid Przepi\xf3rka,2567
Frederick Yates,2564
Moishe Lowcki,2562
Aleksander Flamberg,2561
Stepan Levitsky,2560
L\xe9o Forg\xe1cs,2560
Erich Cohn,2558
Walter John,2557
K\xe1roly Sterk,2556
Georg Salwe,2553
Efim Bogoljubow,2546
Paul Leonhardt,2545
Semyon Alapin,2541
Georg Marco,2540
Zsigmond Bar\xe1sz,2538
Oscar Chajes,2538
Paul Johner,2535
Adolf Olland,2532
Charles Jaffe,2526
Johannes Esser,2522
Arnold Aurbach,2521
Hans Fahrni,2518
Franti\x9aek Treybal,2517
Sergey Freiman,2510
Edward Lasker,2506
Jen\xf6 Sz\xe9kely,2500
Abram Rabinovich,2499
Ehrhardt Post,2497
Abraham Kupchik,2495
Carl Carls,2492
Bernhard Gregory,2489
Karel Hrom\xe1dka,2485
Karel Treybal,2480
Stefano Rosselli del Turco,2473
Paul Kr\xfcger,2473
Rafael Blanco Estera,2473
Jacques Mieses,2463
Abraham Speijer,2461
Isidor Gunsberg,2461
Jan te Kolst\xe9,2456
Edward Tennenwurzel,2444
K. Geus,2443
Juan Corzo Pr\xedncipe,2441
Gustaf Nyholm,2441
John Homer Stapfer,2440
Karel Opocensk\xfd,2426
Fritz Englund,2414
Rudolf Loman,2407
Willem Schelfhout,2337
Arnold van Foreest,2293
