Name,Rating
Johannes Zukertort,2735
Wilhelm Steinitz,2726
George Mackenzie,2706
Joseph Blackburne,2704
Szymon Winawer,2700
James Mason,2684
Berthold Englisch,2643
Louis Paulsen,2616
Max Judd,2610
Alexander Wittek,2606
Samuel Rosenthal,2597
Vincenz Hrub\xfd,2592
William Potter,2589
Adolf Schwarz,2584
Isidor Gunsberg,2581
Miksa Weiss,2575
Mikhail Chigorin,2575
Hans von Minckwitz,2559
Jacques Schwarz,2537
Josef Noa,2529
Jules de Rivi\xe8re,2526
Johann Berger,2526
Henry Bird,2515
Philipp Meitner,2513
Fritz Riemann,2506
Emil Schallopp,2502
Wilfried Paulsen,2500
Bernhard Fleissig,2496
Carl Wemmers,2486
Arnold Schottl\xe4nder,2481
Preston Ware Jr,2451
Max Bier,2447
Semyon Alapin,2437
Emanuel Schiffers,2431
Alexander Fritz,2395
Constantin Schwede,2388
Karl Pitschel,2373
Charles-Emile Chasery,2371
Carl Schmid,2340
Victor Knorre,2333
de Boistertre,2320
H von Schuetz,2316
