,,,,
,,,,
Monthly top-five lists        Back five years Back three years Back one year Back one month Forward one month,,,,
Monthly List: May 2004 rating list,,,,
,,,,
,Player Name,Rating,Age,
#80,Jeroen Piket,2615,35y4m,(#210 all-time among players aged 35y4m)
#81,Evgenij Agrest,2614,37y9m,(#179 all-time among players aged 37y9m)
#82,Jaan Ehlvest,2613,41y7m,(#151 all-time among players aged 41y7m)
#83,Miguel Illescas Cordoba,2613,38y5m,(#168 all-time among players aged 38y5m)
#84,Semen Dvoiris,2612,45y6m,(#104 all-time among players aged 45y6m)
#85,Darmen Sadvakasov,2612,25y1m,(#208 all-time among players aged 25y1m)
#86,Michal Krasenkow,2611,40y6m,(#157 all-time among players aged 40y6m)
#87,Lenier Dominguez,2611,20y8m,(#94 all-time among players aged 20y8m)
#88,Sergei Tiviakov,2610,31y3m,(#262 all-time among players aged 31y3m)
#89,Boris Avrukh,2609,26y4m,(#243 all-time among players aged 26y4m)
#90,Vasilios Kotronias,2608,39y9m,(#171 all-time among players aged 39y9m)
#91,Alexei Fedorov,2608,31y8m,(#273 all-time among players aged 31y8m)
#92,Lazaro Bruzon Bautista,2608,22y0m,(#149 all-time among players aged 22y0m)
#93,Curt Hansen,2608,39y8m,(#170 all-time among players aged 39y8m)
#94,Mihail Kobalija,2607,26y0m,(#235 all-time among players aged 26y0m)
#95,Penteala Harikrishna,2607,18y0m,(#41 all-time among players aged 18y0m)
#96,Mohamad Al Modiahki,2606,29y11m,(#288 all-time among players aged 29y11m)
#97,Alexander Goldin,2606,39y3m,(#184 all-time among players aged 39y3m)
#98,Yasser Seirawan,2604,44y2m,(#139 all-time among players aged 44y2m)
#99,Dmitrij Jakovenko,2604,20y11m,(#113 all-time among players aged 20y11m)
#100,Merab Gagunashvili,2604,19y4m,(#64 all-time among players aged 19y4m)
