Name,Rating
Magnus Carlsen,2838
Fabiano Caruana,2827
Wesley So,2822
Vladimir Kramnik,2811
Maxime Vachier-Lagrave,2796
Viswanathan Anand,2786
Levon Aronian,2785
Hikaru Nakamura,2785
Sergey Karjakin,2783
Anish Giri,2769
Shakhriyar Mamedyarov,2766
Liren Ding,2760
Pavel Eljanov,2759
P. Harikrishna,2758
Vassily Ivanchuk,2751
Michael Adams,2751
Ian Nepomniachtchi,2749
Peter Svidler,2748
Radoslaw Wojtaszek,2745
Alexander Grischuk,2742
Leinier Dominguez Perez,2739
Veselin Topalov,2739
Yangyi Yu,2738
Dmitry Andreikin,2734
David Navara,2730
Yi Wei,2725
Nikita Vitiugov,2724
Ernesto Inarkiev,2723
Boris Gelfand,2721
Chao b Li,2720
Vladimir Malakhov,2715
Quang Liem Le,2712
Xiangzhi Bu,2711
Evgeny Tomashevsky,2711
Teimour Radjabov,2710
Dmitry Jakovenko,2709
Ruslan Ponomariov,2709
Francisco Vallejo Pons,2709
Yue Wang,2706
Yuriy Kryvoruchko,2705
Markus Ragger,2703
Arkadij Naiditsch,2702
Baadur Jobava,2701
Maxim Matlakov,2701
Maxim Rodshtein,2699
Rustam Kasimdzhanov,2699
Zoltan Almasi,2697
Etienne Bacrot,2695
Peter Leko,2693
Richard Rapport,2692
Anton Korobov,2691
Ivan Cheparinov,2689
Rauf Mamedov,2688
Jan-Krzysztof Duda,2684
Igor Kovalenko,2684
Alexander Areshchenko,2683
Hao Wang,2682
B. Adhiban,2682
Sergei Rublevsky,2681
Eltaj Safarli,2680
Liviu-Dieter Nisipeanu,2680
Sergei Movsesian,2679
Vadim Zvjaginsev,2679
Alexei Shirov,2678
Gawain C B Jones,2677
Loek Van Wely,2676
Vladimir Akopian,2675
Alexander Morozevich,2675
Nigel D Short,2675
Krishnan Sasikiran,2674
Jeffery Xiong,2674
Hua Ni,2674
Samuel L Shankland,2674
Sanan Sjugirov,2673
Santosh Gujrathi Vidit,2673
Matthew D Sadler,2671
Alexander Riazantsev,2671
Ilia Smirin,2670
Parimarjan Negi,2670
Aleksandr Rakhmanov,2670
Gata Kamsky,2669
Ray Robson,2668
Robert Markus,2667
Alexander Onischuk,2667
Viktor Laznicka,2666
Gabriel Sargissian,2666
Evgeny Bareev,2666
Alexander Motylev,2663
Bassem Amin,2662
Daniil Dubov,2661
Alexander Moiseenko,2661
Laurent Fressinet,2660
Alexander Ipatov,2660
Vladislav Tkachiev,2660
Evgeniy Najer,2659
Vladimir Fedoseev,2658
David W L Howell,2657
Surya Shekhar Ganguly,2657
A.R. Saleh Salem,2656
Vladislav Artemiev,2655
