Name,Rating
Veselin Topalov,2812
Viswanathan Anand,2784
Magnus Carlsen,2770
Vladimir Kramnik,2759
Levon Aronian,2758
Teimour Radjabov,2756
Dmitry Jakovenko,2755
Peter Leko,2752
Alexander Morozevich,2751
Alexander Grischuk,2743
Alexei Shirov,2740
Boris Gelfand,2740
Yue Wang,2737
Sergei Movsesian,2736
Vugar Gashimov,2733
Vassily Ivanchuk,2731
Peter Svidler,2730
Ruslan Ponomariov,2726
Etienne Bacrot,2725
Shakhriyar Mamedyarov,2722
Leinier Dominguez Perez,2719
Sergey Karjakin,2719
Gata Kamsky,2719
Hua Ni,2716
Evgeny Alekseev,2715
Vladimir Malakhov,2708
Hikaru Nakamura,2704
Xiangzhi Bu,2703
Sergei Rublevsky,2702
Michael Adams,2701
Vladimir Akopian,2701
Pavel Eljanov,2700
Arkadij Naiditsch,2699
Hao Wang,2694
Judit Polgar,2691
Maxime Vachier-Lagrave,2690
Sergei Tiviakov,2689
Viktor Bologan,2689
Francisco Vallejo Pons,2689
Alexander Onischuk,2689
Alexander Motylev,2688
Rustam Kasimdzhanov,2687
Alexander Moiseenko,2687
Baadur Jobava,2686
Nikita Vitiugov,2685
Evgeny Tomashevsky,2685
Evgenij Miroshnichenko,2685
Zoltan Almasi,2684
P. Harikrishna,2683
Ivan Cheparinov,2678
Artyom Timofeev,2678
Krishnan Sasikiran,2677
Nigel D Short,2677
Ernesto Inarkiev,2675
Liviu-Dieter Nisipeanu,2675
Andrei Volokitin,2673
Zahar Efimenko,2672
Peter Heine Nielsen,2672
Evgeniy Najer,2667
Alexey Dreev,2665
Laurent Fressinet,2665
Emil Sutovsky,2665
David Navara,2665
Ivan Sokolov,2664
Gabriel Sargissian,2662
Igor Kurnosov,2661
Gadir Guseinov,2660
Vadim Milov,2659
Boris Grachev,2657
Fabiano Caruana,2656
Alexander Areshchenko,2655
Sergey A. Fedorchuk,2655
Tomi Nyback,2655.0
Konstantin Landa,2655.0
Loek Van Wely,2655.0
Vladislav Tkachiev,2654
Arman Pashikian,2653
Boris Savchenko,2653
Daniel Fridman,2652
Pavel V. Tregubov,2652.0
Borki Predojevic,2649
Alexander Lastin,2649
Aleksander Delchev,2648.0
Yuri Shulman,2648.0
Dmitry Andreikin,2648.0
Evgeny Postny,2647
Alexander G Beliavsky,2647
Julio E Granda Zuniga,2647.0
Georg Meier,2646
Yasser Seirawan,2646.0
Farrukh Amonatov,2645
Boris Avrukh,2645
Mikhail Kobalia,2645
Rauf Mamedov,2645
Anatoly Karpov,2644
Ilia Smirin,2644
Chao b Li,2643.0
Bartosz Socko,2643
Wesley So,2642
Michael Roiz,2642
