Name,Rating
Magnus Carlsen,2837
Levon Aronian,2805
Shakhriyar Mamedyarov,2799
Fabiano Caruana,2799
Maxime Vachier-Lagrave,2789
Wesley So,2788
Vladimir Kramnik,2787
Viswanathan Anand,2782
Hikaru Nakamura,2781
Liren Ding,2777
Alexander Grischuk,2772
Peter Svidler,2765
Sergey Karjakin,2760
Anish Giri,2752
Yangyi Yu,2751
Veselin Topalov,2749
Teimour Radjabov,2748
P. Harikrishna,2744
Yi Wei,2743
David Navara,2740
Quang Liem Le,2737
Radoslaw Wojtaszek,2736
Maxim Matlakov,2735
Chao b Li,2732
Dmitry Jakovenko,2730
Xiangzhi Bu,2730
Ian Nepomniachtchi,2729
Vassily Ivanchuk,2726
Etienne Bacrot,2725
Nikita Vitiugov,2722
Vladimir Fedoseev,2718
Jan-Krzysztof Duda,2717
Michael Adams,2715
Santosh Gujrathi Vidit,2715
Evgeny Tomashevsky,2713
Dmitry Andreikin,2712
Pavel Eljanov,2711
Ivan Cheparinov,2710
Hao Wang,2709
Rauf Mamedov,2709
Richard Rapport,2707
Francisco Vallejo Pons,2707
Arkadij Naiditsch,2705
Yuriy Kuzubov,2699
Maxim Rodshtein,2699
Boris Gelfand,2697
Evgeniy Najer,2696
Ruslan Ponomariov,2694
Vladislav Artemiev,2691
Peter Leko,2691
Baadur Jobava,2690
Yue Wang,2690
Ernesto Inarkiev,2689
Yuriy Kryvoruchko,2689
Bassem Amin,2689
Vladimir Malakhov,2686
Matthew D Sadler,2685
Daniil Dubov,2683
Rustam Kasimdzhanov,2683
Sergei Rublevsky,2683
Zoltan Almasi,2682
Alexander Onischuk,2681
Krishnan Sasikiran,2680
Yifan Hou,2680
Nigel D Short,2678
Gata Kamsky,2677
David W L Howell,2676
Alexander Motylev,2675
Emil Sutovsky,2673
Lazaro Bruzon Batista,2672
Martyn Kravtsiv,2672
Gabriel Sargissian,2672
Liviu-Dieter Nisipeanu,2671
Michal Krasenkow,2671
Hua Ni,2671
Ivan Saric,2669
Alexander Moiseenko,2667
Vladimir Akopian,2667
David Anton Guijarro,2666
Eduardo Iturrizaga Bonelli,2665
Alexander Morozevich,2665
Laurent Fressinet,2662
Samuel Shankland,2662
Jorge Cori,2660
Anton Demchenko,2660
Alexander Ipatov,2659
Ferenc Berkes,2658
Markus Ragger,2657
Julio E Granda Zuniga,2657
Tamir Nabaty,2657
Loek Van Wely,2657
Boris Grachev,2657
Parimarjan Negi,2656
Luka Lenic,2655
B. Adhiban,2655
Gawain C B Jones,2654
Aleksandr Rakhmanov,2653
Aleksey Dreev,2653
Anton Korobov,2652
Anton Kovalyov,2652
