Name,Rating
Magnus Carlsen,2826
Veselin Topalov,2803
Viswanathan Anand,2800
Vladimir Kramnik,2785
Levon Aronian,2783
Alexander Grischuk,2760
Shakhriyar Mamedyarov,2758
Pavel Eljanov,2758
Alexei Shirov,2749
Teimour Radjabov,2748
Sergey Karjakin,2747
Vassily Ivanchuk,2746
Boris Gelfand,2745
Ruslan Ponomariov,2741
Peter Svidler,2732
Hikaru Nakamura,2731
Peter Leko,2729
Vladimir Malakhov,2728
David Navara,2726
Dmitry Jakovenko,2726
Hao Wang,2724
Yue Wang,2724
Sergei Movsesian,2723
Maxime Vachier-Lagrave,2722
Vugar Gashimov,2719
Etienne Bacrot,2718
Michael Adams,2717
Leinier Dominguez Perez,2716
Nikita Vitiugov,2715
Zoltan Almasi,2712
Baadur Jobava,2710
Gata Kamsky,2709
Alexander Morozevich,2707
Laurent Fressinet,2707
Ian Nepomniachtchi,2706
Evgeny Tomashevsky,2704
Fabiano Caruana,2698
Francisco Vallejo Pons,2697
Alexander Onischuk,2694
Rustam Kasimdzhanov,2692
Viktor Bologan,2692
Evgeny Alekseev,2691
Vladimir Akopian,2691
Artyom Timofeev,2690
Nigel D Short,2690
Viktor Laznicka,2690.0
Alexander Motylev,2689
Quang Liem Le,2687
Radoslaw Wojtaszek,2687
Zahar Efimenko,2686
Peter Heine Nielsen,2685
Sergei Rublevsky,2685
Xiangzhi Bu,2685
Alexander Riazantsev,2684
Liviu-Dieter Nisipeanu,2683
Judit Polgar,2682
Evgenij Miroshnichenko,2681
Krishnan Sasikiran,2680
Kiril Georgiev,2680
Arkadij Naiditsch,2679
Loek Van Wely,2678
Gabriel Sargissian,2675
Anish Giri,2674
Ferenc Berkes,2674
Wesley So,2671
Ernesto Inarkiev,2671
Jan Smeets,2669
Boris Grachev,2668
Sergey A. Fedorchuk,2668
Lazaro Bruzon Batista,2666
Emil Sutovsky,2665
Evgeniy Najer,2664
Jianchao Zhou,2664
Alexander Areshchenko,2664
Evgeny Bareev,2663
Anton Korobov,2663
Alexander Moiseenko,2662
Ivan Cheparinov,2661
Andrei Volokitin,2661
Denis Khismatullin,2660
Igor Kurnosov,2660
Rauf Mamedov,2660
Vadim Zvjaginsev,2660
Dmitry Andreikin,2659
Luke J McShane,2657.0
Sergei Zhigalko,2656.0
Alexey Dreev,2654
Tigran Gharamian,2654
Georg Meier,2653
Surya Shekhar Ganguly,2652
Mikhail Kobalia,2652
Ilia Smirin,2651
Bartosz Socko,2651
Sebastien Feller,2649.0
P. Harikrishna,2645
Daniel Fridman,2645
Michael Roiz,2645.0
Bartlomiej Macieja,2645
Hua Ni,2644
Vadim Milov,2644
