Name,Rating
Magnus Carlsen,2882
Levon Aronian,2815
Alexander Grischuk,2792
Viswanathan Anand,2785
Fabiano Caruana,2783
Vladimir Kramnik,2783
Hikaru Nakamura,2772
Veselin Topalov,2772
Sergey Karjakin,2770
Leinier Dominguez Perez,2768
Shakhriyar Mamedyarov,2760
Maxime Vachier-Lagrave,2758
Peter Svidler,2753
Boris Gelfand,2753
Vassily Ivanchuk,2753
Michael Adams,2750
Anish Giri,2746
Nikita Vitiugov,2742
Peter Leko,2737
Ian Nepomniachtchi,2735
Hao Wang,2734
Pavel Eljanov,2732
Wesley So,2731
Dmitry Jakovenko,2730
P. Harikrishna,2726
Radoslaw Wojtaszek,2724
Ruslan Ponomariov,2723
Dmitry Andreikin,2722
Etienne Bacrot,2721
Alexander Morozevich,2719
Liren Ding,2714
Gata Kamsky,2713
Yue Wang,2713
Teimour Radjabov,2713
Baadur Jobava,2712
Quang Liem Le,2712
Laurent Fressinet,2711
Chao b Li,2711
David Navara,2708
Alexander Moiseenko,2707
Alexei Shirov,2703
Yuriy Kryvoruchko,2703
Richard Rapport,2701
Alexander Areshchenko,2701
Arkadij Naiditsch,2700
Rustam Kasimdzhanov,2700
Francisco Vallejo Pons,2700
Sergei Rublevsky,2698
Anton Korobov,2696
Evgeny Tomashevsky,2695
Vladimir Malakhov,2694
Xiangzhi Bu,2693
Zoltan Almasi,2693
Romain Edouard,2692
Alexander Riazantsev,2692
Liviu-Dieter Nisipeanu,2691
Maxim Matlakov,2689
Alexander Motylev,2687
Viktor Laznicka,2686
Ivan Cheparinov,2686
Judit Polgar,2685
Gabriel Sargissian,2684
Lazaro Bruzon Batista,2682
Ernesto Inarkiev,2682
Denis Khismatullin,2682
Yangyi Yu,2675
Julio E Granda Zuniga,2675
Sergei Zhigalko,2675
Luke J McShane,2674
Evgeny Alekseev,2673
Sergei Movsesian,2672
Maxim Rodshtein,2672
Krishnan Sasikiran,2669
Alexander Onischuk,2668
Andrei Istratescu,2667
Vladimir Akopian,2667
Aleksey Dreev,2667
Ivan Saric,2666
Ferenc Berkes,2665
Vladimir Fedoseev,2662
Igor Lysyj,2661
Nigel D Short,2661
Ilia Smirin,2660
Rauf Mamedov,2660
Boris Grachev,2658
Sergei Tiviakov,2657
Luka Lenic,2657
Loek Van Wely,2656
Eltaj Safarli,2656
Konstantin Landa,2655
Viktor Bologan,2655
Tigran Gharamian,2655
David W L Howell,2654
Peter Heine Nielsen,2654
Hua Ni,2653
Timur Gareev,2653
Evgeniy Najer,2653
Csaba Balogh,2651
Viktor Erdos,2651
Erwin L\'Ami,2651
