Player Name,Rating
Garry Kasparov,2878
Anatoly Karpov,2813
Vassily Ivanchuk,2783
Viswanathan Anand,2778
Vladimir Kramnik,2760
Valery Salov,2754
Boris Gelfand,2754
Alexei Shirov,2737
Evgeny Bareev,2733
Nigel Short,2732
Gata Kamsky,2724
Alexander Khalifman,2717
Vladimir Epishin,2709
Alexander Graf,2706
Michael Adams,2705
Artur Jussupow,2705
Jaan Ehlvest,2697
Alexander Beliavsky,2694
Ivan Sokolov,2694
Kiril Georgiev,2690
Alexander Chernin,2689
Alexey Vyzmanavin,2687
Leonid Yudasin,2687
Mikhail Gurevich,2686
Judit Polgar,2685
Sergey Dolmatov,2683
Viktor Korchnoi,2682
Predrag Nikolic,2680
Jonathan Speelman,2680
Zurab Azmaiparashvili,2678
Rafael Vaganian,2677
Lev Polugaevsky,2675
Jan Timman,2674
Vladimir Akopian,2670
Robert Hübner,2668
Alexey Dreev,2668
Ulf Andersson,2668
Joel Lautier,2667
Lev Psakhis,2667
Boris Gulko,2666
Smbat Lputian,2666
Eric Lobron,2664
Lembit Oll,2663
Sergei Tiviakov,2663
Miguel Illescas Cordoba,2662
Edvins Kengis,2660
Curt Hansen,2659
Oleg Romanishin,2659
Iván Morovic Fernández,2658
Jóhann Hjartarson,2657
Boris Alterman,2656
Evgeny Sveshnikov,2655
Michal Krasenkow,2654
Lajos Portisch,2654
John Nunn,2653
Gregory Kaidanov,2653
Zoltán Ribli,2653
Veselin Topalov,2652
Simen Agdestein,2652
Yasser Seirawan,2652
Grigory Serper,2652
Alon Greenfeld,2652
Ilia Smirin,2651
Eduardas Rozentalis,2649
Evgeny Vladimirov,2648
Artashes Minasian,2644
Ljubomir Ljubojevic,2643
Anthony Miles,2643
Vladimir Malaniuk,2642
Jeroen Piket,2641
Christopher Lutz,2641
Alexander Shabalov,2640
Julio Granda Zuñiga,2639
Iosif Dorfman,2638
Julian Hodgson,2637
Semen Dvoiris,2636
Rustem Dautov,2636
Ashot Anastasian,2635
Ye Jiangchuan,2635
Anatoli Vaisser,2635
Sergey Gorelov,2634
Lin Weiguo,2634
Elmar Magerramov,2633
Patrick Wolff,2633
Vladimir Tukmakov,2631
Alex Yermolinsky,2631
Alexander Huzman,2630
John van der Wiel,2630
Joel Benjamin,2629
Larry Christiansen,2628
András Adorján,2628
Vadim Ruban,2628
Andrei Kharlov,2628
Vidmantas Malisauskas,2628
Vasil Spasov,2628
Zurab Sturua,2627
Victor Gavrikov,2627
Igor Khenkin,2627
Bobby Fischer,2626
Yury Razuvaev,2625
