Player Name,Rating
Bobby Fischer,2795
Viktor Korchnoi,2780
Boris Spassky,2771
Tigran Petrosian,2748
Lev Polugaevsky,2746
Vassily Smyslov,2744
Leonid Stein,2736
Mikhail Botvinnik,2734
Bent Larsen,2732
Efim Geller,2722
Mikhail Tal,2721
Lajos Portisch,2720
Paul Keres,2718
Ratmir Kholmov,2706
Mark Taimanov,2698
Vlastimil Hort,2697
David Bronstein,2685
Svetozar Gligoric,2680
Alexey Suetin,2678
Semen Furman,2676
Nikolay Krogius,2670
Alexander Zaitsev,2669
Aivars Gipslis,2663
Milan Matulovic,2661
Miguel Najdorf,2656
Samuel Reshevsky,2652
Anatoly Lutikov,2652
Evgeny Vasiukov,2652
Wolfgang Uhlmann,2646
Florin Gheorghiu,2644
Eduard Gufeld,2642
Borislav Ivkov,2641
Viacheslav Osnos,2640
Dragoljub Ciric,2639
Vladimir Liberzon,2638
Anatoly Lein,2637
Larry Evans,2635
Klaus Darga,2630
Lubomir Kavalek,2630
Vladimir Savon,2630
Fridrik Olafsson,2628
Wolfgang Unzicker,2626
Pal Benko,2626
Yury Averbakh,2624
Abram Khasin,2624
Yury Sakharov,2624
Aleksandar Matanovic,2623
Bruno Parma,2622
Oscar Panno,2621
Georgy Tringov,2619
Vitaly Tseshkovsky,2619
Janis Klovans,2619
Lothar Schmid,2618
Isaak Boleslavsky,2616
Vladimir Antoshin,2614
Vladimir Tukmakov,2613
Leonid Shamkovich,2612
Jonathan Penrose,2608
Bojan Kurajica,2607
Raúl Sanguinetti,2606
Rein Etruk,2605
Mikhail Podgaets,2605
Bukhuti Gurgenidze,2603
Robert Hübner,2599
Igor Zaitsev,2597
Henrique Mecking,2597
Helmut Pfleger,2594
Ludek Pachmann,2593
Milko Bobotsov,2592
Robert Byrne,2592
Gyözö Forintos,2592
Jan Smejkal,2590
Miroslav Filip,2587
Gennady Ageichenko,2587
Gedeon Barcza,2587
Janesz Stupica,2586
Victor Zheliandinov,2584
Nikola Padevsky,2583
Hrvoje Messing,2583
Arturo Pomar Salamanca,2582
Laszlo Barczay,2582
Rudolf Teschner,2581
Aleksander Nikitin,2580
Boris Vladimirov,2577
Alexander Kotov,2577
Johannes Donner,2576
Duncan Suttles,2576
Anatoly Bikhovsky,2575
László Szabó,2574
James Sherwin,2572
Levon Grigorian,2571
István Bilek,2570
Enver Bukic,2570
Salo Flohr,2565
Vladimir Sergievsky,2564
Yury Nikolaevsky,2563
Vladimir Bagirov,2563
Dragoljub Velimirovic,2562
Levente Lengyel,2560
Janos Flesch,2559
