Player Name,Rating
Vassily Smyslov,2786
Paul Keres,2764
David Bronstein,2763
Mikhail Botvinnik,2752
Tigran Petrosian,2734
Mark Taimanov,2732
Viktor Korchnoi,2730
Svetozar Gligoric,2728
Mikhail Tal,2725
Boris Spassky,2713
Samuel Reshevsky,2709
Efim Geller,2707
Bent Larsen,2705
Miguel Najdorf,2696
Aleksandar Matanovic,2695
Yury Averbakh,2693
László Szabó,2689
Fridrik Olafsson,2685
Ludek Pachmann,2676
Oscar Panno,2675
Ratmir Kholmov,2673
Borislav Ivkov,2673
Pal Benko,2665
Miroslav Filip,2665
Alexander Kotov,2663
Semen Furman,2662
Alexander Tolush,2660
Max Euwe,2659
Gedeon Barcza,2656
Wolfgang Unzicker,2650
Evgeny Vasiukov,2640
Lev Polugaevsky,2640
Julio Bolbochán,2637
Gideon Ståhlberg,2636
Lev Aronin,2635
Isaak Boleslavsky,2635
Raúl Sanguinetti,2631
Vladimir Antoshin,2628
Lothar Schmid,2623
Georgy Ilivitsky,2621
Salo Flohr,2620
Albéric O'Kelly de Galway,2619
Oleg Neikirkh,2616
Larry Evans,2616
Petar Trifunovic,2614
Aivars Gipslis,2612
Bobby Fischer,2611
Alexey Suetin,2611
Nikolay Krogius,2610
Daniel Yanofsky,2608
Klaus Darga,2608
Rashid Nezhmetdinov,2608
Nikola Karaklajic,2607
Aleksander Nikitin,2606
Anatoly Bannik,2604
Bukhuti Gurgenidze,2602
Erich Eliskases,2602
William Lombardy,2601
Vladlen Zurakhov,2601
Andrija Fuderer,2600
Vladislav Shianovsky,2600
Alexander Cherepkov,2599
Johannes Donner,2598
István Bilek,2598
Arthur Bisguier,2597
Herman Pilnik,2596
Vladas Mikenas,2593
Borislav Milic,2593
Georgy Borisenko,2590
Wolfgang Uhlmann,2589
Vasily Bivshev,2587
Srecko Nedeljkovic,2583
Vladimir Simagin,2582
Braslav Rabar,2581
Grigory Goldberg,2579
Carlos Guimard,2574
Lajos Portisch,2574
Miguel Farré Mallofré,2573
Mikhail Bonch-Osmolovsky,2573
Jacob Yukhtman,2571
Samuil Zhukhovitsky,2571
Max Blau,2570
Georgy Tringov,2570
Miklos Bely,2568
Anatoly Lutikov,2568
György Szilágyi,2567
Paul Tröger,2566
James Sherwin,2564
Nikola Padevsky,2564
Zdravko Milev,2563
Mario Bertok,2562
Milan Matulovic,2561
Iivo Nei,2561
Oleg Moiseev,2560
Boris Vladimirov,2559
Héctor Rossetto,2559
Yuri Kotkov,2558
Konstantin Klaman,2558
Grigory Ravinsky,2558
Aron Reshko,2557
