Player Name,Rating
Samuel Reshevsky,2780
Mikhail Botvinnik,2764
Vassily Smyslov,2762
Paul Keres,2754
David Bronstein,2746
Miguel Najdorf,2740
Efim Geller,2734
Alexander Kotov,2728
Isaak Boleslavsky,2714
Gideon Ståhlberg,2709
Svetozar Gligoric,2705
Mark Taimanov,2702
László Szabó,2699
Max Euwe,2697
Tigran Petrosian,2688
Erich Eliskases,2685
Alexander Tolush,2681
Julio Bolbochán,2679
Larry Evans,2673
Lev Aronin,2671
Wolfgang Unzicker,2668
Salo Flohr,2659
Ludek Pachmann,2658
Yury Averbakh,2656
Herman Pilnik,2655
Petar Trifunovic,2653
Reuben Fine,2652
Gedeon Barcza,2651
Vasja Pirc,2646
Nicolas Rossolimo,2642
Anatoly Lutikov,2638
Oleg Moiseev,2634
Andrija Fuderer,2633
Isaak Lipnitsky,2632
Héctor Rossetto,2630
Vladimir Simagin,2629
Ratmir Kholmov,2626
Albéric O'Kelly de Galway,2626
Braslav Rabar,2617
Mijo Udovcic,2614
Andor Lilienthal,2612
Igor Bondarevsky,2612
Aleksandar Matanovic,2607
Viktor Korchnoi,2606
Zdravko Milev,2606
Borislav Milic,2606
Alexander Chistiakov,2604
Anatoly Bannik,2599
Vladimir Alatortsev,2598
Pal Benko,2595
Aleksandar Nedeljkovic,2591
Nikolay Kopilov,2587
Moshe Czerniak,2587
Robert Byrne,2586
Rudolf Teschner,2586
Rashid Nezhmetdinov,2584
Ernö Gereben,2584
Carlos Guimard,2583
Lothar Schmid,2582
Gerhard Pfeiffer,2582
Alexey Suetin,2581
Semen Furman,2579
Srecko Nedeljkovic,2578
Conel Alexander,2577
Rodrigo Flores Alvarez,2577
Vladas Mikenas,2576
Ilia Kan,2575
Georgy Ilivitsky,2574
Evgeny Zagoriansky,2574
József Szily,2570
Miguel Cuéllar Gacharná,2569
Alexander Konstantinopolsky,2569
Nikolay Nikolaevich Gusev,2568
Vladimir Zagorovsky,2567
Ludwig Engels,2567
Vladimir Makogonov,2565
Borislav Ivkov,2565
Lodewijk Prins,2561
Vladimir Antoshin,2560
Georg Kieninger,2559
Nikola Karaklajic,2559
Daniel Yanofsky,2558
Milan Vidmar Sr,2558
Erik Lundin,2558
Herman Steiner,2558
Stojan Puc,2553
Cenek Kottnauer,2553
Gösta Stoltz,2552
Georgy Borisenko,2551
Dragoljub Janoševic,2551
Juan Carlos Gonzalez,2550
Arthur Bisguier,2549
Walter Niephaus,2548
Al Horowitz,2548
Dragoslav Andric,2546
Jácobo Bolbochán,2545
Johannes Donner,2544
Tjeerd van Scheltinga,2544
Heinz Lehmann,2544
Ernst Klein,2543
