Player Name,Rating
Mikhail Tal,2796
Tigran Petrosian,2784
Vassily Smyslov,2759
Paul Keres,2758
Viktor Korchnoi,2756
Efim Geller,2745
Boris Spassky,2744
Ratmir Kholmov,2736
Mikhail Botvinnik,2729
Bobby Fischer,2729
Svetozar Gligoric,2724
Mark Taimanov,2704
Yury Averbakh,2701
Lev Polugaevsky,2698
László Szabó,2684
Samuel Reshevsky,2683
Miguel Najdorf,2680
David Bronstein,2678
Lajos Portisch,2670
Wolfgang Unzicker,2669
William Lombardy,2665
Vladimir Bagirov,2660
Fridrik Olafsson,2656
Wolfgang Uhlmann,2656
Borislav Ivkov,2652
Karl Robatsch,2650
Miroslav Filip,2648
Ludek Pachmann,2648
Larry Evans,2644
Aleksandar Matanovic,2637
Isaak Boleslavsky,2637
Aivars Gipslis,2635
Andrija Fuderer,2631
Alexander Kotov,2630
Arturo Pomar Salamanca,2629
Vladimir Antoshin,2629
Evgeny Vasiukov,2628
Alexander Cherepkov,2627
Lothar Schmid,2626
Vladas Mikenas,2622
Leonid Stein,2622
Nikolay Krogius,2622
Vladimir Simagin,2619
Robert Byrne,2617
Gedeon Barcza,2616
Jacob Yukhtman,2609
Yury Nikolaevsky,2608
Bent Larsen,2607
Lev Aronin,2605
Raúl Sanguinetti,2604
Julio Bolbochán,2602
Pal Benko,2601
Milan Matulovic,2600
István Bilek,2600
Jonathan Penrose,2598
Héctor Rossetto,2598
Arthur Bisguier,2597
Anatoly Lutikov,2597
Johannes Donner,2597
Milko Bobotsov,2594
Mario Bertok,2590
James Sherwin,2586
Charles Kalme,2585
Janis Klovans,2584
Petar Trifunovic,2584
Nikola Padevsky,2582
Bukhuti Gurgenidze,2582
Eduard Gufeld,2579
Raymond Weinstein,2575
Carlos Guimard,2575
Alexander Tolush,2574
Anatoly Bannik,2573
Milan Vukcevich,2573
Herman Pilnik,2571
Rashid Nezhmetdinov,2571
Samuel Schweber,2569
Klaus Darga,2569
Vlastimil Hort,2569
Alexey Suetin,2566
Borislav Milic,2561
Semen Furman,2558
Salo Flohr,2558
Yury Sakharov,2557
Božidar Djuraševic,2557
Zdravko Milev,2557
Tjeerd van Scheltinga,2557
Atanas Kolarov,2556
Maximilián Ujtelky,2556
Andreas Dueckstein,2555
Theodor Ghitescu,2554
Vladislav Shianovsky,2554
Igor Bondarevsky,2553
Donald Byrne,2553
Iivo Nei,2552
Erich Eliskases,2552
Stojan Puc,2550
Ingi Jóhannsson,2548
Georgy Tringov,2545
Peter Dely,2545
Jirí Fichtl,2545
