Player Name,Rating
Garry Kasparov,2859
Viswanathan Anand,2822
Vladimir Kramnik,2817
Peter Leko,2759
Alexander Morozevich,2759
Vassily Ivanchuk,2755
Michael Adams,2752
Alexei Shirov,2749
Evgeny Bareev,2742
Boris Gelfand,2733
Peter Svidler,2732
Veselin Topalov,2715
Vladimir Akopian,2712
Nigel Short,2703
Ruslan Ponomariov,2699
Ilia Smirin,2697
Alexey Dreev,2695
Alexander Khalifman,2695
Mikhail Gurevich,2691
Judit Polgar,2690
Rustam Kasimdzhanov,2689
Kiril Georgiev,2688
Predrag Nikolic,2687
Anatoly Karpov,2683
Loek van Wely,2682
Alexander Grischuk,2677
Zhang Zhong,2676
Joel Lautier,2675
Vladislav Tkachiev,2673
Zurab Azmaiparashvili,2671
Alexander Onischuk,2668
Konstantin Sakaev,2668
Viktor Korchnoi,2666
Viktor Bologan,2665
Zoltan Almasi,2665
Alexander Beliavsky,2665
Ye Jiangchuan,2663
Vadim Zvjaginsev,2660
Sergei Movsesian,2659
Sergei Rublevsky,2657
Jeroen Piket,2657
Ivan Sokolov,2657
Etienne Bacrot,2656
Michal Krasenkow,2654
Curt Hansen,2653
Evgeny Vladimirov,2651
Zurab Sturua,2650
Andrei Kharlov,2648
Vladimir Malakhov,2648
Evgenij Ermenkov,2647
Artur Jussupow,2646
Rustem Dautov,2644
Igor Khenkin,2644
Aleksej Aleksandrov,2643
Rafael Vaganian,2643
Jan Timman,2643
Vadim Milov,2642
Rafael Leitao,2640
Sergey Dolmatov,2640
Alexander Lastin,2639
Matthew Sadler,2639
Smbat Lputian,2638
Jaan Ehlvest,2635
Konstantin Landa,2634
Sergei Tiviakov,2629
Pavel Tregubov,2629
Yasser Seirawan,2627
Igor Novikov,2627
Christopher Lutz,2626
Alexei Fedorov,2626
Murtas Kazhgaleyev,2625
Robert Hübner,2625
Alexander Graf,2624
Jonathan Speelman,2624
Peter Heine Nielsen,2622
Iosif Dorfman,2621
Alexander Chernin,2620
Ulf Andersson,2619
Gilberto Milos,2618
Boris Avrukh,2618
Alexander Galkin,2617
Joel Benjamin,2616
Mihail Kobalija,2616
Alexander Motylev,2615
Alexey Kuzmin,2614
Sergei Shipov,2614
Lev Psakhis,2614
Vladimir Epishin,2614
Karen Asrian,2614
Andrey Shariyazdanov,2614
Zbynek Hracek,2613
Viacheslav Eingorn,2613
Xu Jun,2612
Evgeniy Najer,2612
Giorgi Giorgadze,2612
Vladimir Baklan,2611
Boris Gulko,2611
Julian Hodgson,2611
Emil Sutovsky,2610
Ildar Ibragimov,2610
